FACSEX,FACETHN,FACNAT,FACRANK,EMPLOYM,SALARY,YRSTEACH,YRSUT,DEGREE,SAMPLE,REMIND,NSTUD,STUDRANK,STUDSEX,GRADE,GPA,SATISFY,RELIGION,PSD,ITEM13,ITEM14,ITEM15,ITEM16,ITEM17,ITEM18,ITEM19,ITEM20,ITEM21,ITEM22,ITEM23,ITEM24,ITEM25,ITEM26,ITEM27,ITEM28,ITEM29,ITEM30,ITEM31,ITEM32,ITEM33,ITEM34,ITEM35,ITEM36,ITEM37,ITEM38,ITEM39,ITEM40,ITEM41,ITEM42,ITEM43,ITEM44,ITEM45,ITEM46,ITEM47,ITEM48,ITEM49,ITEM50,ITEM51,ITEM52,RACE,SEXISM,RACISM,RPOLICY,CASTEMAN,COMPETEN,SENSITIV,CSTATUS
1,3,1,3,100,35,8,3,3,1,1,29,2,1,4,3,1,3,4,5,5,5,5,5,5,5,5,5,4,5,5,5,2,1,3,3,3,4,3,2,2,2,1,5,3,3,1,1,2,5,5,4,3,4,3,3,3,3,3,1,2.9230769231,2.25,3.5,2.5,5,4.8,7.03
1,3,1,3,100,35,8,3,3,1,1,29,3,1,5,3,1,3,4,5,5,5,5,5,4,4,5,4,4,5,5,5,2,2,3,2,3,4,2,3,2,2,2,4,1,3,1,2,2,5,3,5,3,3,4,3,3,3,2,1,2.8461538462,2.125,3.5,2.5,5,4.2,7.03
1,3,1,3,100,35,8,3,3,1,1,29,2,1,5,2,1,5,2,5,5,5,5,5,5,5,5,4,4,4,5,2,2,1,2,2,2,3,1,1,2,2,1,3,1,1,1,2,2,3,2,2,2,2,3,2,2,2,2,1,2.0769230769,1.375,2.5,2,5,4.6,7.03
1,3,1,3,100,35,8,3,3,1,1,29,3,2,5,5,1,5,3,5,5,5,5,5,5,5,5,4,5,5,5,2,3,1,4,2,4,2,2,3,3,3,2,3,3,2,1,2,4,3,5,3,4,4,3,3,4,4,5,6,3.1538461538,2.625,3,3.5,5,4.8,
1,1,1,4,100,46,14,11,3,2,1,103,1,1,3,1,3,5,3,5,4,5,5,3,4,5,5,3,3,4,3,2,3,2,2,3,3,5,2,4,3,2,3,5,2,2,4,3,2,3,5,3,1,3,4,3,3,3,3,1,3.2307692308,2.375,3,3,4.4,4,7.03
1,1,1,4,100,46,14,11,3,2,1,103,1,2,4,2,1,1,3,5,5,5,5,5,5,5,3,5,5,5,4,2,2,1,2,4,1,3,2,1,2,5,1,3,1,1,1,1,4,4,4,2,1,1,3,1,5,1,1,1,2.2307692308,1.25,3,3.5,5,4.6,7.03
1,1,1,4,100,46,14,11,3,2,1,103,2,1,4,2,1,1,1,5,5,5,5,4,4,4,4,4,4,4,5,1,1,1,2,4,2,2,2,3,1,1,1,5,1,1,1,1,5,1,5,5,1,1,3,1,2,1,1,1,2.3846153846,1.375,1,1.5,4.8,4,7.03
1,1,1,4,100,46,14,11,3,2,1,103,1,2,3,1,2,5,3,5,4,5,5,4,4,3,3,4,4,3,3,2,2,1,1,2,1,5,2,1,2,1,1,3,1,1,1,2,2,3,3,5,1,2,2,1,2,2,2,2,2.3076923077,1.125,2.5,2,4.6,3.6,4.17
1,1,1,4,100,46,14,11,3,2,1,103,1,2,4,3,1,3,4,5,5,4,5,5,5,4,3,4,4,4,3,2,4,2,3,3,2,4,3,2,4,2,2,4,2,3,3,3,3,3,5,5,2,5,3,1,5,3,4,1,3.3076923077,2.375,3.5,4.5,4.8,4,7.03
1,1,1,4,100,46,14,11,3,2,1,103,1,1,4,3,1,1,3,5,5,5,5,5,5,5,4,4,4,5,4,2,4,2,3,3,3,4,2,2,2,3,2,4,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,3,3.1538461538,2.375,3.5,2.5,5,4.4,3.52
1,1,1,4,100,46,14,11,3,2,1,103,2,2,2,2,2,3,4,5,5,5,4,4,5,5,4,5,4,5,3,2,2,1,2,4,2,3,2,4,3,4,2,5,2,1,2,1,2,3,3,4,2,2,3,2,4,2,3,1,2.9230769231,1.875,2.5,3.5,4.6,4.6,7.03
1,1,1,4,100,46,14,11,3,2,1,103,1,2,3,2,2,3,3,5,5,5,5,5,4,4,3,4,2,4,4,2,2,1,2,3,2,2,3,3,3,2,2,3,2,2,2,2,2,3,3,3,2,2,3,2,3,2,3,1,2.3846153846,2,2.5,3,5,3.4,7.03
1,1,1,4,100,46,14,11,3,2,1,103,1,2,4,2,1,1,,4,4,4,4,4,4,4,3,3,2,3,3,2,1,2,4,3,3,2,4,2,5,2,3,4,3,3,3,2,4,3,3,4,3,4,5,3,4,4,5,,3.0769230769,3.125,2,4.5,4,3.2,
1,1,1,4,100,46,14,11,3,2,1,103,1,1,2,2,2,3,4,5,4,5,5,5,5,4,5,4,4,4,3,4,3,3,5,5,3,4,5,3,5,3,4,5,3,3,4,3,3,5,5,1,4,2,5,3,4,3,3,1,3.1538461538,3.875,4,4.5,4.8,4.4,7.03
1,1,1,4,100,46,14,11,3,2,1,103,3,1,5,5,2,3,4,5,5,4,4,4,3,4,3,4,2,4,3,3,2,2,3,3,3,4,3,2,3,4,2,3,3,4,2,3,3,5,3,2,3,2,3,3,4,3,3,1,2.8461538462,2.625,3.5,3.5,4.4,3.2,7.03
1,1,1,4,100,46,14,11,3,2,1,103,1,2,2,1,2,3,4,4,4,4,5,3,4,3,3,4,3,3,3,3,2,2,2,3,2,3,3,2,3,3,2,2,2,3,2,3,2,2,3,4,3,3,3,3,3,3,3,1,2.7692307692,2.25,2,3,4,3.4,7.03
1,1,1,4,100,46,14,11,3,2,1,103,1,2,4,5,2,3,4,4,5,4,5,3,4,4,4,4,3,3,2,2,2,2,2,4,2,2,3,2,3,3,1,3,1,2,2,3,3,2,3,4,2,3,3,1,3,3,3,1,2.7692307692,1.875,2,3,4.2,3.8,7.03
1,1,1,4,100,46,14,11,3,2,1,103,1,1,3,3,2,3,4,5,5,5,4,5,5,3,5,3,4,4,4,2,1,2,3,4,2,2,3,2,3,1,3,5,3,3,2,2,3,4,5,4,2,3,4,2,3,3,2,1,2.6153846154,2.5,2.5,3,4.8,4,7.03
1,1,1,4,100,46,14,11,3,2,1,103,3,1,3,3,2,2,1,5,5,5,5,4,4,4,4,3,2,4,3,3,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,3,1,3,1,1,3,1,1,2,2,1,1.5384615385,1.25,2,1,4.8,3.4,7.03
1,1,1,4,100,46,14,11,3,2,1,103,1,2,3,2,2,3,3,5,5,5,5,5,4,5,4,3,2,4,3,3,2,1,2,4,3,2,2,1,4,2,2,3,1,3,1,2,3,3,5,5,2,3,3,1,5,2,4,1,2.6153846154,1.75,2.5,4.5,5,3.6,7.03
1,1,1,4,100,46,14,11,3,2,1,103,1,1,3,3,3,1,4,5,5,5,5,4,4,4,4,4,3,4,3,2,2,2,3,3,5,5,1,5,1,1,5,1,1,1,5,3,1,3,5,1,1,5,5,3,1,1,5,3,2.7692307692,2.875,2.5,1,4.8,3.8,3.52
1,1,1,4,100,46,14,11,3,2,1,103,3,1,4,2,2,5,4,4,4,5,4,4,4,4,3,4,4,4,3,2,3,2,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,1,3.1538461538,2.875,3,3,4.2,3.8,7.03
1,1,1,4,100,46,14,11,3,2,1,103,1,1,5,5,1,1,3,5,5,5,5,5,5,5,5,5,5,4,4,4,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,4,3,1,1,1,4,1,2,2,1,1,1.2307692308,1.25,2.5,1.5,5,5,7.03
1,1,1,4,100,46,14,11,3,2,1,103,1,2,5,4,2,3,2,4,4,4,4,4,4,4,3,4,3,4,,1,2,2,3,2,2,4,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2.9230769231,2.625,2.5,3,4,3.6,7.03
1,1,1,4,100,46,14,11,3,2,1,103,1,1,4,2,2,5,2,4,5,5,,4,4,4,3,4,3,3,4,2,2,1,1,2,1,1,3,1,1,2,1,3,1,1,1,,,2,2,,1,1,1,1,,,1,1,,1.25,2,,,3.6,7.03
1,1,1,4,100,46,14,11,3,2,1,103,3,1,2,2,3,5,2,5,5,5,5,5,5,5,3,3,4,3,3,,4,1,2,5,1,4,3,,4,3,3,4,3,2,,1,3,5,5,5,2,5,3,1,2,1,1,1,,,4.5,3,5,4,7.03
1,1,1,4,100,46,14,11,3,2,1,103,2,1,5,5,2,3,4,5,5,4,5,5,4,5,3,5,,4,,1,2,1,2,5,1,5,2,3,2,2,2,5,1,,,3,3,,5,3,2,3,3,2,3,4,4,1,3.3846153846,,,2.5,4.8,,7.03
1,1,1,4,100,46,14,11,3,2,1,103,2,1,5,5,1,1,2,4,3,4,5,3,3,3,3,4,2,3,2,3,2,1,2,3,1,3,1,1,1,3,1,2,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,6,2.6923076923,1.375,2.5,2,3.8,3,
1,1,1,4,100,46,14,11,3,2,1,103,1,1,3,3,1,3,3,4,4,3,2,3,2,4,4,4,4,3,2,2,2,1,2,3,1,4,2,1,1,1,1,4,2,2,1,2,2,3,5,2,1,1,3,1,1,1,2,,2,1.375,2.5,1,3.2,3.6,
1,1,1,1,100,19,16,3,3,1,1,28,1,2,5,5,1,3,4,5,5,5,5,5,5,5,5,5,5,5,5,3,1,1,1,2,4,1,2,1,3,2,1,5,1,1,1,1,3,3,5,3,2,3,3,2,3,2,2,1,2.1538461538,1.625,2,3,5,5,7.03
1,1,1,1,100,19,16,3,3,1,1,28,4,1,3,3,1,6,,5,5,5,5,5,5,5,5,4,5,4,4,2,1,1,2,3,2,4,2,2,1,2,1,1,1,1,1,2,3,4,2,2,2,2,3,2,2,2,2,6,2.1538461538,1.5,2.5,1.5,5,4.8,
1,1,1,1,100,19,16,3,3,1,1,28,3,2,5,2,5,5,2,5,5,5,5,4,4,4,4,4,4,4,5,2,2,1,2,2,2,1,4,2,3,2,2,3,2,2,1,3,2,2,5,2,2,2,3,2,2,2,3,3,2.1538461538,2,2,2.5,4.8,4,3.52
2,1,1,2,100,23,3,3,1,1,2,2,4,1,4,3,1,1,3,4,4,4,2,2,4,3,4,3,3,4,4,2,2,1,1,4,1,4,1,2,2,3,2,4,2,2,2,2,3,4,3,4,2,3,2,2,1,2,3,1,2.9230769231,1.5,3,1.5,3.2,3.4,7.03
2,1,1,2,100,23,3,3,1,1,2,5,4,2,4,5,1,3,5,4,4,4,5,5,4,4,5,4,3,5,5,2,2,1,2,3,2,4,1,2,3,3,2,4,2,1,2,1,3,3,5,5,2,1,1,1,2,1,3,1,2.5384615385,1.75,2.5,2.5,4.4,4,7.03
2,1,1,2,100,23,3,3,1,1,2,5,4,1,4,3,1,3,4,4,4,4,4,3,4,3,3,2,4,3,3,2,3,2,2,3,2,4,2,4,3,2,2,3,1,2,1,2,3,3,3,3,2,2,3,2,2,2,2,1,2.6923076923,1.75,3,2.5,3.8,3.2,7.03
2,1,1,2,100,23,3,3,1,1,2,5,5,2,4,3,1,3,4,5,5,5,5,5,5,5,5,5,5,5,5,2,1,2,3,4,3,4,3,2,5,2,5,5,2,2,3,1,2,2,5,5,1,2,4,1,5,3,3,1,2.6923076923,2.75,1.5,5,5,5,7.03
1,1,1,3,100,35,8,0,3,2,2,62,1,2,4,2,2,5,3,,4,3,2,4,3,4,3,2,4,3,3,3,2,4,2,4,3,4,3,2,3,2,2,4,1,2,1,2,2,4,5,4,2,2,3,2,3,2,2,1,2.6153846154,2.25,3,3,,3.2,7.03
1,1,1,3,100,35,8,0,3,2,2,62,2,2,3,2,1,3,4,4,4,4,4,4,3,3,3,4,3,3,3,3,5,3,3,3,3,2,4,3,5,4,5,5,4,3,4,2,2,4,5,5,4,4,4,2,5,2,2,1,3.1538461538,3.75,4.5,5,4,3.2,7.03
1,1,1,3,100,35,8,0,3,2,2,62,1,2,3,2,1,1,4,4,5,3,4,4,3,4,3,3,4,3,4,3,2,3,3,4,2,3,3,4,3,2,3,4,2,3,2,3,2,4,5,5,3,3,2,3,4,4,3,1,3.2307692308,2.625,3,3.5,4,3.4,7.03
1,1,1,3,100,35,8,0,3,2,2,62,1,1,4,5,2,1,2,4,4,3,3,4,2,3,3,2,2,3,2,2,5,1,2,3,3,4,2,3,1,2,1,5,2,1,1,3,4,5,5,3,3,3,3,2,2,4,4,3,3.4615384615,1.875,5,1.5,3.6,2.4,3.52
1,1,1,3,100,35,8,0,3,2,2,62,1,1,4,2,3,3,4,5,5,4,4,3,4,4,3,4,5,3,3,2,3,1,1,4,1,4,1,3,3,2,3,3,3,1,3,2,3,3,3,2,1,1,3,2,2,2,2,6,2.5384615385,1.75,3,2.5,4.2,4,
1,1,1,3,100,35,8,0,3,2,2,62,1,1,5,5,3,3,4,4,4,4,3,4,4,4,3,4,4,4,3,2,4,1,1,3,1,4,3,3,2,2,1,5,1,3,1,3,5,5,5,5,2,3,3,2,2,3,2,1,3.3846153846,1.375,4.5,2,3.8,3.8,7.03
1,1,1,3,100,35,8,0,3,2,2,62,4,1,5,2,5,3,3,4,4,4,4,4,4,4,3,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,4,3,3,2,2,2,2,2,2,2,2,1,2.3076923077,2,2.5,2,4,3.8,7.03
1,1,1,3,100,35,8,0,3,2,2,62,5,2,4,3,2,3,2,5,5,4,5,5,2,4,3,4,1,3,3,1,1,1,3,1,3,1,3,1,1,1,1,3,1,1,1,1,2,2,1,3,1,1,1,1,3,1,1,1,1.3846153846,1.75,1.5,2,4.8,2.8,7.03
1,1,1,3,100,35,8,0,3,2,2,62,2,1,4,4,3,1,4,4,5,3,3,3,4,3,3,2,4,3,2,3,3,2,3,4,3,5,4,4,4,3,3,5,2,2,2,2,4,5,4,5,2,5,4,3,4,4,4,1,3.9230769231,2.625,4,4,3.6,3.2,7.03
1,1,1,3,100,35,8,0,3,2,2,62,2,1,4,3,2,1,4,4,4,4,4,4,5,5,5,4,4,4,4,2,3,1,1,3,2,3,2,2,3,2,1,4,2,1,1,1,4,3,4,3,1,2,2,1,3,1,2,1,2.3846153846,1.375,3,3,4,4.6,7.03
1,1,1,3,100,35,8,0,3,2,2,62,2,1,2,3,2,1,3,4,3,1,2,3,2,3,3,2,2,2,3,3,1,1,2,2,3,1,3,1,1,2,1,2,1,1,1,2,1,3,2,3,3,2,4,3,2,2,1,1,1.7692307692,1.875,2,1.5,2.6,2.4,7.03
1,3,2,1,100,21,7,7,3,1,2,18,4,1,5,2,1,3,3,5,5,5,5,5,5,5,5,5,5,4,4,2,2,2,2,3,2,4,3,2,4,2,2,4,2,2,2,3,2,4,4,4,2,4,3,2,4,2,2,1,2.7692307692,2.125,3,4,5,5,7.03
1,3,2,1,100,21,7,7,3,1,2,18,3,2,4,3,1,5,5,5,4,4,4,4,5,5,4,3,4,4,3,3,2,1,2,5,2,4,2,2,2,1,3,4,2,3,1,2,3,4,5,5,1,4,4,1,4,2,5,1,3.0769230769,1.75,3,3,4.2,4.2,7.03
1,3,2,1,100,21,7,7,3,1,2,18,3,2,4,3,2,5,2,4,4,4,4,5,5,5,3,5,5,4,3,1,1,1,1,1,1,1,3,1,5,1,1,5,1,1,1,1,1,3,4,3,1,1,1,1,5,1,1,2,1.4615384615,1.25,2,5,4.2,4.6,4.17
1,3,2,1,100,21,7,7,3,1,2,18,3,2,4,4,1,1,3,4,4,4,4,4,4,4,4,4,4,3,3,3,4,2,2,2,2,3,4,2,3,3,2,4,3,2,3,3,3,4,5,3,3,2,4,2,2,3,1,1,2.6923076923,2.625,4,2.5,4,4,7.03
1,3,2,1,100,21,7,7,3,1,2,18,2,2,4,3,1,3,4,4,4,4,4,4,4,5,4,3,2,4,3,1,2,1,2,5,2,4,2,2,4,2,1,4,1,1,3,2,1,4,5,3,1,2,2,2,5,3,2,1,2.6153846154,1.625,3,4.5,4,3.6,7.03
1,1,1,1,100,19,16,3,3,1,1,23,1,1,5,4,1,3,3,5,5,5,4,3,1,4,4,3,3,3,3,2,1,1,1,3,1,4,1,1,4,1,1,5,1,1,1,1,1,2,5,1,1,1,1,1,3,1,1,1,1.6923076923,1,1.5,3.5,4.4,3,7.03
1,1,1,1,100,19,16,3,3,1,1,23,1,2,3,3,1,1,4,4,4,4,4,4,3,4,3,3,4,3,3,3,2,2,3,3,2,2,2,2,3,3,2,4,2,2,2,4,3,5,4,4,2,2,4,2,3,3,2,1,2.7692307692,2.125,3.5,3,4,3.4,7.03
1,1,1,1,100,19,16,3,3,1,1,23,1,1,4,2,1,1,3,4,4,4,4,3,3,4,3,3,4,4,3,2,1,1,1,3,1,2,2,1,3,3,1,5,1,1,1,2,2,5,5,5,2,3,2,2,3,1,2,3,2.4615384615,1.25,3,3,3.8,3.4,3.52
1,1,1,1,100,19,16,3,3,1,1,23,1,2,5,4,1,1,3,4,5,4,3,3,4,4,4,4,4,3,3,1,3,1,2,2,2,2,1,1,2,3,1,4,1,2,1,2,1,5,4,3,2,3,2,2,3,2,3,3,2.3846153846,1.375,4,2.5,3.8,4,3.52
1,1,1,1,100,19,16,3,3,1,1,23,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,5,4,4,5,1,1,1,5,1,5,1,3,5,5,1,5,1,1,1,5,5,4,5,5,1,4,5,4,5,4,5,2,4.3076923077,1,2.5,5,1,1.8,4.17
1,1,1,1,100,19,16,3,3,1,1,23,2,2,5,4,1,5,2,4,4,4,4,2,3,4,4,2,4,3,3,2,2,2,2,2,2,3,2,1,2,2,2,2,1,2,1,2,2,3,2,2,2,2,2,2,2,2,2,1,2,1.75,2.5,2,3.6,3.4,7.03
1,1,1,3,100,28,7,7,3,1,1,207,2,2,5,3,1,1,2,5,5,5,4,4,3,3,3,3,3,5,3,3,1,3,3,3,3,1,3,1,3,2,2,2,3,1,3,2,3,4,3,3,3,3,3,2,3,1,2,1,2,2.875,2.5,3,4.6,3,7.03
1,1,1,3,100,28,7,7,3,1,1,207,3,2,4,3,1,2,2,5,5,5,5,4,3,3,3,4,3,4,4,2,1,1,2,4,4,3,3,2,5,5,3,2,5,1,1,,2,4,3,4,2,2,3,2,3,2,2,1,,2.625,2.5,4,4.8,3.2,7.03
1,1,1,3,100,28,7,7,3,1,1,207,3,2,4,5,1,3,,,5,5,4,5,4,4,,,,,,,,1,,5,2,3,2,2,2,3,2,4,1,2,1,3,2,3,4,4,,2,3,2,,3,,6,,,,,,,
1,1,1,3,100,28,7,7,3,1,1,207,2,2,4,5,1,3,3,5,5,5,4,5,4,4,4,4,3,5,5,5,1,1,3,4,2,3,3,1,3,2,1,2,2,2,2,2,2,5,3,3,3,3,3,3,4,3,3,1,2.4615384615,2.125,3,3.5,4.8,3.8,7.03
1,1,1,3,100,28,7,7,3,1,1,207,2,2,5,5,1,3,1,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,3,4,3,5,1,1,2,1,3,1,3,1,1.7692307692,1.25,2.5,2,5,5,7.03
1,1,1,3,100,28,7,7,3,1,1,207,2,1,5,5,2,3,2,,5,5,5,4,4,5,3,3,3,3,3,1,3,1,1,3,,3,2,3,1,1,1,3,1,1,1,2,3,3,5,3,1,3,3,1,2,2,2,1,2.4615384615,,3,1.5,,3.6,7.03
1,1,1,3,100,28,7,7,3,1,1,207,2,1,4,3,2,3,3,5,5,5,5,5,4,5,5,5,5,5,4,3,1,1,1,3,2,3,3,2,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,3,3,1,2.6923076923,2.375,2,3.5,5,4.8,7.03
1,1,1,3,100,28,7,7,3,1,1,207,3,2,5,5,1,4,3,5,5,5,5,5,5,5,3,5,5,5,4,3,1,1,2,2,2,4,2,1,1,3,1,3,1,1,1,2,2,2,4,3,2,2,2,2,1,2,3,6,2.3076923077,1.5,1.5,1,5,4.6,
1,1,1,3,100,28,7,7,3,1,1,207,1,2,4,3,1,1,3,5,5,5,5,5,5,5,4,5,3,5,5,1,2,1,2,3,2,4,2,2,2,2,1,3,1,2,1,2,3,4,4,3,2,2,3,2,2,2,2,1,2.4615384615,1.5,3,2,5,4.4,7.03
1,1,1,3,100,28,7,7,3,1,1,207,2,,4,4,1,6,,5,5,5,5,5,5,5,5,5,4,5,5,1,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,1,5,5,1,5,1,5,1,1,5,6,2.8461538462,1,1,1,5,4.8,
1,1,1,3,100,28,7,7,3,1,1,207,2,2,4,5,2,2,2,5,5,5,5,4,4,5,4,5,5,4,3,2,1,2,2,2,3,1,1,1,3,1,3,5,1,1,2,1,3,2,2,3,1,1,1,1,3,2,1,1,1.7692307692,1.875,1.5,3,4.8,4.6,7.03
1,1,1,3,100,28,7,7,3,1,1,207,1,2,5,3,2,1,4,5,5,5,5,5,4,4,,4,4,5,5,,2,2,3,4,3,3,3,3,4,3,2,5,2,2,2,3,3,4,4,4,2,3,4,,,,,1,,2.375,3,,5,,7.03
1,1,1,3,100,28,7,7,3,1,1,207,2,2,4,3,2,3,3,5,5,5,4,5,4,4,3,5,4,5,4,2,1,1,2,2,2,2,3,2,2,2,2,3,2,1,1,2,2,5,3,4,1,1,2,1,2,1,1,1,1.8461538462,1.75,3,2,4.8,4,7.03
1,1,1,3,100,28,7,7,3,1,1,207,4,2,3,4,1,5,3,5,5,5,5,5,5,5,3,5,5,5,4,4,1,1,3,4,2,2,2,1,2,3,1,2,1,1,1,3,3,2,3,3,3,3,4,3,3,3,3,1,2.6153846154,1.75,1.5,2.5,5,4.6,7.03
1,1,1,3,100,28,7,7,3,1,1,207,1,1,4,2,1,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,3,4,2,5,5,5,5,5,5,5,5,1,5,,5,5,5,5,5,5,5,1,1,3.8461538462,4.875,5,5,5,5,7.03
1,1,1,3,100,28,7,7,3,1,1,207,1,1,4,2,2,5,3,5,5,5,4,4,3,4,3,3,5,4,4,2,3,2,4,3,2,3,3,4,5,4,3,5,3,3,4,4,4,3,5,5,3,4,4,3,5,4,5,1,3.9230769231,3,3,5,4.6,3.6,7.03
1,1,1,3,100,28,7,7,3,1,1,207,1,1,4,4,1,3,4,5,5,5,5,5,4,4,3,5,4,5,4,1,3,2,3,4,4,5,2,2,5,3,2,5,3,1,2,3,4,4,5,5,3,5,5,2,4,3,2,1,3.5384615385,2.625,3.5,4.5,5,4,7.03
