Day,sales,invest_radio_updated,invst_television_updated,invst_newpaper,invst_bb,invst_bus_taxi,competition
35,16464561,1969528.32,485880,165513.61,2644857.76,23163.22052,1210217
36,14219462,1693084.44,556670,143266.62,2286826.92,20264.68984,4350438
37,3448634,403243.08,413017,34944.34,557536.44,5168.19688,5367049
38,13066731,1562266.72,478596,131657.31,2104823.96,17687.08492,3744530
39,14134812,1688548.44,554668,141926.12,2266597.92,19970.95184,1457456
40,4588282,539391.84,432061,46870.82,739698.12,7523.53224,3008325
41,15729474,1889830.88,490028,158163.74,2525885.84,22242.90568,1721388
42,3242058,391112.96,499100,33490.58,533228.28,4848.51656,4202483
43,2190315,249582.8,518893,23076.15,362942.4,3775.2158,5394304
44,13009491,1562215.92,509052,130679.91,2096814.56,17601.52812,3328748
45,13035713,1560451.56,428533,131236.13,2098949.08,17922.14116,653803
46,4162272,491279.64,492761,42076.72,670101.52,6645.19904,366961
47,8808027,1055193.24,425688,88767.27,1421617.32,12414.59564,1429922
48,269626,30114.12,486138,3229.26,56981.16,1291.90632,5209582
49,13224527,1575764.24,441327,133355.27,2129727.32,18384.37564,6260879
50,1242961,150740.32,404909,12813.61,209350.76,2202.70852,4883725
51,9004136,1071921.32,428704,90769.36,1453243.76,12560.45952,2663916
52,7611443,904278.16,435995,77215.43,1226023.88,11357.10476,315646
53,1693493,195099.16,483535,17722.93,285507.88,3303.41076,4800812
54,4938767,594282.04,451325,49779.67,797149.72,7021.17244,5367949
55,6416854,764631.48,453981,64839.54,1034160.64,9257.24728,2597277
56,10433411,1253121.32,533676,105168.11,1676894.76,14209.10252,6155669
57,11402689,1364958.68,537021,114458.89,1829420.24,15952.54948,1566076
58,6520712,777939.44,569791,65928.12,1058792.92,9210.33984,4270678
59,10337463,1232369.56,450743,104536.63,1668594.08,14847.45116,6508901
60,5356995,642800.4,538457,54423.95,865592.2,8485.2334,2221972
61,12561228,1497988.36,476251,126347.28,2025633.48,17046.82096,1578474
62,2694150,320799,539830,27769.5,442526,4576.278,1548504
63,13399343,1598028.16,551098,135020.43,2158830.88,18801.13276,6781555
64,6803303,809083.36,552261,68744.03,1104494.48,9576.35996,5569248
65,15797286,1895454.32,456759,158500.86,2540544.76,21986.41752,1207351
66,14548674,1735148.88,538043,146374.74,2331797.84,20158.24968,359012
67,11402513,1366016.56,521387,114907.13,1829666.08,16187.31716,6728246
68,3116887,362051.44,560128,31685.87,512192.92,5549.29084,5326396
69,2182228,250911.36,424716,22575.28,359115.48,3920.54096,884998
70,11529150,1385465,476186,116209.5,1856631,15656.478,4867827
71,5372108,642394.96,542875,54395.08,871391.28,7928.18256,3829746
72,5635537,677137.44,445514,56961.37,911952.92,8600.90884,1698547
73,503084,55911.08,470345,5396.84,88607.44,2147.07088,1774501
74,16714058,1997574.96,508385,167910.58,2689322.28,23376.55656,2493931
75,5324488,637943.56,444474,54261.88,859307.08,7658.32416,4259857
76,2367240,273110.8,456463,24748.4,385667.4,4005.7568,2882582
77,5094084,602995.08,434649,51453.84,825736.44,7898.19088,4884284
78,16140403,1933017.36,427594,162470.03,2593126.48,22121.33196,6344975
79,11711415,1393509.8,407064,117459.15,1879720.4,16829.0678,1064472
80,7614090,902509.8,457647,76694.9,1222829.4,10787.5988,546320
81,1816808,206964.96,487347,19060.08,299128.28,3752.18656,3367177
82,16360756,1958407.72,549616,164173.56,2622706.96,22736.19792,1591508
83,16865590,2018123.8,413215,169368.9,2708291.4,23631.5788,3990029
84,8649017,1026701.04,462871,87593.17,1395950.72,12884.70244,3283160
85,15144673,1809274.76,437299,152146.73,2435210.68,20543.96836,2454578
86,16816952,2006940.24,556444,168718.52,2704930.32,23361.37664,2915448
87,11236254,1345684.48,509857,113229.54,1805828.64,16322.85528,5260521
88,14721816,1770059.92,563820,147847.16,2365439.56,20006.79712,6131828
89,1868537,217872.44,467400,19070.37,314397.92,3915.46884,1866379
90,9328512,1108835.44,416960,94150.12,1497971.92,13022.63584,3568574
91,12481310,1490717.2,468829,125370.1,2005494.6,17700.3292,2659595
92,16322765,1947960.8,408572,164185.65,2618674.4,22929.0498,1591981
93,1439074,163797.88,428586,15228.74,236295.84,2523.57768,3815738
94,16262963,1943436.56,483536,163168.63,2614553.08,22250.11116,1710824
95,10373837,1241866.44,564899,104628.37,1669675.92,14809.46484,5113756
96,10474835,1246429.2,455006,105129.35,1690794.6,14307.7822,6932155
97,12928727,1546606.24,537103,129927.27,2081433.32,17917.91964,1539796
98,16470186,1975428.32,405544,165107.86,2644913.76,22728.64552,312211
99,6557575,782565,488883,66302.75,1055243,9257.999,1540849
100,12761970,1528278.4,541732,128295.7,2047333.2,18318.8004,1671895
101,7375397,884464.64,401032,74716.97,1184590.52,10552.52404,331847
102,1403363,161708.56,401979,14372.63,239883.08,3030.43916,4691567
103,7989813,952491.56,511902,80794.13,1291875.08,11494.55316,2272984
104,16460218,1971324.16,541727,165653.18,2640555.88,22155.48776,6528615
105,1146404,138896.48,506507,12298.04,191825.64,3001.25328,685045
106,5962702,705061.24,476638,60544.02,965356.32,8718.76664,3510001
107,8411210,1003656.2,457565,84471.1,1353796.6,11790.7972,594442
108,15368865,1833908.8,487918,154431.65,2471979.4,20768.9018,3322394
109,11412579,1360969.48,526936,114588.79,1833005.64,16435.60428,5109315
110,12500976,1487789.12,417675,125821.76,2009089.16,17944.28832,5950269
111,6464908,776219.96,421604,64952.08,1046447.28,9409.67856,6287350
112,11490652,1377923.24,559214,115312.52,1851809.32,15789.66064,3517512
113,13172015,1569276.8,518768,132080.15,2117824.4,18160.0598,2128634
114,12584621,1506125.52,437734,127037.21,2018571.36,17195.69972,2629309
115,13410257,1605788.84,565063,134998.57,2159061.12,18396.53924,3548120
116,4507409,533419.08,517635,45928.09,736981.44,6725.77988,4437883
117,10387106,1239209.72,565114,104564.06,1670409.96,14443.97992,4781872
118,4052798,483325.76,415346,41306.98,662627.68,6087.69336,6664994
119,4674714,550348.68,520222,47576.14,759354.24,6720.62248,951235
120,16403417,1968971.04,474052,164354.17,2633037.72,22221.51044,3324378
121,11626995,1383469.4,543820,116635.95,1870559.2,16007.6334,2479968
122,16094652,1929910.24,443002,161277.52,2580279.32,22073.94064,245077
123,12297196,1469046.52,419097,123849.96,1977803.36,16765.29872,971619
124,2855650,341866,510283,29576.5,462324,4785.458,4278014
125,5330764,640622.68,410743,53781.64,857137.24,8364.60848,3186855
126,11689120,1397523.4,526409,117709.2,1882435.2,16872.6384,5515023
127,10765930,1287711.6,504668,108191.3,1737754.8,14861.0276,3827795
128,2401213,281011.56,516774,24744.13,392683.08,4477.60116,5057613
129,8146930,962825.6,489923,82038.3,1313235.8,11330.9476,2573129
130,9297232,1110530.84,400699,93865.32,1492939.12,12814.34624,3241936
131,13150224,1580883.88,421956,132697.24,2117112.84,18752.29568,1824192
132,1604706,189431.72,486211,16610.06,266145.96,2754.21192,5961924
133,15990005,1909694.6,543172,161005.05,2564116.8,21713.8066,2369936
134,13896025,1664180,425111,139467.25,2230008,19617.753,3065580
135,5619209,668321.08,428612,56615.09,904465.44,8422.35588,624846
136,3924774,462476.88,413983,40026.74,640660.84,6403.70168,2842567
137,15272819,1826772.28,449813,153726.19,2457611.04,21286.12108,1075626
138,12553068,1507337.16,421242,126014.68,2020226.88,17613.04976,3767106
139,5863410,691844.2,423787,59389.1,951575.6,8470.7012,1731769
140,7261027,869391.24,469745,73703.27,1167584.32,11040.55564,6621556
141,5504925,645074,418304,55685.25,896484,7926.501,1749115
142,13543270,1613919.4,528493,136293.7,2174935.2,19109.1164,1027604
143,12755544,1518639.28,545788,128637.44,2047445.04,18101.31808,1427316
144,9304039,1111041.68,552370,93996.39,1502581.24,12756.33148,5338931
145,13516592,1621578.04,410177,136103.92,2177510.72,19143.90144,5909151
146,6601727,780330.24,485023,67114.27,1065856.32,9123.27964,6433457
147,13930247,1669562.64,419260,140298.47,2233787.52,19759.92604,1620447
148,6028942,713835.04,457521,61193.42,974184.72,8719.20344,1941505
149,13346556,1596164.72,407039,134359.56,2150022.96,18384.45392,6576926
150,2209070,254993.4,495619,22529.7,358781.2,3764.9724,5374265
151,3842422,454608.64,479334,39189.22,624216.52,6557.99704,3715458
152,14257690,1707955.8,558000,143137.9,2292365.4,19795.1508,3827403
153,15303460,1837242.2,415578,153644.6,2453133.6,20615.5672,5138327
154,6333451,759591.12,412873,64073.51,1027506.16,8968.15532,5965103
155,790803,97873.36,425870,8700.03,130655.48,2485.85996,1119573
156,4482974,537808.88,564982,45707.74,722852.84,6381.52568,1230115
157,9192839,1100068.68,482340,92400.39,1476360.24,13341.54748,1823555
158,5722093,683923.16,428495,58217.93,924613.88,8897.16276,1993685
159,16072117,1919350.04,486197,161921.17,2580107.72,22030.19444,4598069
160,2572962,306689.44,567881,26570.62,421729.92,3879.30984,2376664
161,12451192,1496767.04,519357,125286.92,1997251.72,17905.57344,376267
162,11972144,1437916.28,419675,120867.44,1920040.04,17032.23008,6496411
163,12567003,1504132.36,444073,126104.03,2016065.48,17396.44396,5172112
164,5886809,696991.08,539819,59240.09,949927.44,8727.58788,3296539
165,363217,32146.04,449832,4082.17,71523.72,1952.44644,661463
166,9909016,1180038.92,495011,99958.16,1593572.56,14264.90112,6080891
167,14817765,1775167.8,508123,148520.65,2377471.4,20356.4498,3535160
168,13522174,1623803.88,532008,135887.74,2167874.84,18809.26968,4143514
169,15037184,1803016.08,503702,151150.84,2413800.44,20899.08288,2392527
170,11870486,1423244.32,457972,119577.86,1905542.76,16498.04152,5309501
171,881173,95816.76,418207,9154.73,150814.68,1644.14836,4430091
172,13260122,1585861.64,463215,133263.22,2127659.52,18243.36104,925597
173,15093123,1807185.76,473744,151995.23,2422793.68,20631.92236,1021248
174,1466237,176997.44,470161,15061.37,244948.92,3227.43284,6968978
175,5841546,703168.52,458785,58827.46,946251.36,8913.84072,2188113
176,13290386,1590623.32,522027,133758.86,2139969.76,18759.30952,1798431
177,15863195,1896959.4,508519,159366.95,2547567.2,21503.4174,3085581
178,11101203,1318668.36,475144,111633.03,1783186.48,15233.58796,3548042
179,15789837,1891177.44,470268,158940.37,2534228.92,21342.58484,2225901
180,10356644,1242418.28,477249,104304.44,1669231.04,14688.77008,3644501
181,13476031,1601275.72,459643,135458.31,2161397.96,18420.36092,388800
182,7687107,916862.84,553961,77337.07,1244757.12,11394.98124,4072657
183,15239313,1823014.56,461252,153432.13,2442302.08,21172.89316,1710744
184,7746971,927056.52,517192,77880.71,1246503.36,11353.00172,5871179
185,9172637,1100623.44,447206,92543.37,1476151.92,13273.88084,5805298
186,15773244,1886443.28,494992,158143.44,2534216.04,21845.68208,1873970
187,9013581,1079039.72,556570,90874.81,1457220.96,13262.92692,2732231
188,10262948,1232270.76,424301,103768.48,1657628.68,14156.09136,6915239
189,13589383,1631132.96,466340,136637.83,2178623.28,18637.98556,3973018
190,6291852,744131.24,501119,63984.52,1018907.32,9450.24464,3490293
191,1160182,130409.84,521461,12346.82,190428.12,1982.44024,2879597
192,13144617,1568874.04,455207,132165.17,2107144.72,18352.89444,6536167
193,3877006,451986.72,545234,39888.06,631179.96,5852.64792,3863152
194,15871582,1903685.84,537764,159803.82,2552000.12,21750.48824,4468882
195,7850352,940481.24,492329,79077.52,1263507.32,10830.46464,5647693
196,8208393,981637.16,532891,83015.93,1320497.88,11525.07876,4514258
197,6576528,786025.36,471949,66167.28,1061949.48,9300.01696,1943945
198,9619437,1141814.44,418441,96728.37,1551450.92,13344.65684,6927283
199,13551751,1624750.12,447993,136052.51,2176497.16,18879.31132,5407336
200,14221040,1695565.8,452689,143214.4,2284617.4,19212.7728,1069926
201,14228677,1699448.24,556888,142592.77,2288653.32,19477.85364,6066559
202,6769136,801165.32,503370,68218.36,1088558.76,10256.25952,5790909
203,4087490,479922.8,429013,41371.9,669118.4,6156.4868,213971
204,876550,102972,402187,9090.5,150833,2657.046,4425684
205,1697767,188375.04,536720,17734.67,282105.72,2928.05244,2841861
206,2339169,272055.28,464303,24570.69,380237.04,3797.70308,6610642
207,3426009,399688.08,521978,35194.09,563714.44,5822.33188,4794010
208,16751848,2009078.76,552895,168491.48,2689011.68,23347.43936,5988125
209,6020598,715334.76,454518,61096.98,975414.68,8527.18936,6565634
210,12436042,1486401.04,403734,124817.42,2004216.72,17866.57544,2385402
211,15428942,1846639.04,566494,155125.42,2475265.72,21164.20344,759451
212,8991536,1071076.32,474406,90780.36,1453853.76,12284.82752,4385605
213,9550589,1133527.68,477541,96450.89,1536198.24,14022.77748,3532164
214,3338139,388024.68,519788,34241.39,544580.24,4994.34348,374411
215,11349012,1360113.44,433382,114679.12,1821607.92,15597.69584,6466961
216,13014581,1563343.72,436828,130575.81,2090988.96,18274.24692,979874
217,15060020,1803613.4,436615,151760.2,2419336.2,20836.2264,6233855
218,14878376,1777651.12,421920,149083.76,2394279.16,20221.45632,5222195
219,13866936,1654961.32,565306,139858.36,2227620.76,19547.35552,1402008
220,14728858,1755426.96,468824,147953.58,2370638.28,20046.09256,5657026
221,4853624,574697.88,484684,49719.24,789493.84,6876.78368,4010366
222,5527418,650530.16,402534,55829.18,896667.88,8160.19176,1945506
223,12792939,1530517.68,533878,129074.39,2054771.24,17509.67948,3426463
224,16328642,1948489.04,467629,163909.42,2621149.72,22909.80744,1711049
225,5227031,625012.72,493160,53313.31,851092.96,8202.68092,5005011
226,10303034,1229180.08,486180,103716.34,1655261.44,14168.00488,248051
227,11046585,1327237.2,458792,110791.85,1782881.6,15784.4922,384231
228,4856594,585108.28,533719,49310.94,787397.04,7713.70408,542895
229,6437206,767369.72,526272,64833.06,1042608.96,9883.11192,5367447
230,13127544,1564412.28,497213,131702.44,2115222.04,18195.35808,3442421
231,14673233,1752747.96,556546,147453.33,2359835.28,20550.66756,4068832
232,5573020,658196.4,482137,56887.2,903760.2,8237.3864,4171648
233,15989493,1911175.16,512044,160416.93,2567116.88,22584.13076,1594057
234,1259963,149854.56,485158,13019.63,215706.08,3083.15116,4956914
235,10660693,1271089.16,559052,107554.93,1715636.88,15179.11476,2970334
236,14456325,1732170,508055,145575.25,2317544,20565.349,6524423
237,13827201,1648438.12,560604,139059.01,2225146.16,19673.90532,6781861
238,11192547,1339018.64,530304,112858.47,1798985.52,15992.16204,6137703
239,12126894,1445912.28,487088,121671.94,1950904.04,16705.50008,2809045
240,7401941,877022.92,491165,74478.41,1195159.56,11175.56212,2575715
241,4025812,477805.44,542885,40974.12,658363.92,6611.07184,4241342
242,7929728,946103.36,424957,79911.28,1283053.48,11368.24096,4412967
243,5631388,667431.56,532427,57041.88,911715.08,8832.43216,1788199
244,2080712,240529.44,400935,21606.12,339468.92,4064.53984,6673985
245,13263323,1592201.76,413356,133014.23,2129621.68,18919.58636,6716179
246,15686932,1873847.84,491795,157531.32,2516664.12,21443.75024,6868796
247,5718412,679118.44,510435,57944.12,929206.92,9004.30384,246478
248,7141013,851440.56,469016,72594.13,1151897.08,10041.13716,2145436
249,5304749,624514.88,415714,53792.49,855162.84,8165.26868,6427617
250,16670685,2002786.2,531737,167429.85,2673242.6,22878.3042,1709591
251,8487728,1016714.36,440857,85578.28,1364665.48,12391.80096,6531381
252,5915526,700099.12,405266,60319.26,953325.16,8698.49432,3221292
253,6652594,799477.28,483645,67337.94,1071459.04,9979.42408,344326
254,4745741,565827.92,405778,48398.41,766997.56,7521.37812,2180020
255,15534510,1854377.2,425221,155824.1,2492407.6,21001.5532,2402524
256,9232701,1097447.12,488664,92884.01,1492552.16,13222.16532,6928470
257,12675687,1519190.44,412293,127595.87,2041392.92,17175.90684,1894840
258,12319910,1474424.2,551629,123580.1,1978020.6,17204.2812,5646794
259,7798718,930372.16,413627,79115.18,1258148.88,11032.30776,6174084
260,3702250,440327,469324,37342.5,604774,5504.97,5536162
261,10967933,1313398.96,542437,110337.33,1765128.28,15062.67156,1342398
262,1380235,166778.2,557115,14124.35,228373.6,2537.9102,2019564
263,7193425,850091,532663,72237.25,1164166,10944.321,5335542
264,5987003,707716.36,514041,60353.03,966991.48,8941.84396,1700245
265,11871073,1410487.76,555899,119826.73,1905000.68,16814.81636,2763059
266,7166080,862796.6,548283,72739.8,1158217.8,10628.2256,6335427
267,1614946,194355.52,443099,16457.46,267672.36,2649.72872,3432045
268,3625971,433459.52,403348,37290.71,588102.36,5677.28172,1035090
269,8020341,953396.92,462208,81313.41,1287395.56,11889.85012,2738158
270,14247531,1700194.72,480243,143150.31,2283901.96,19328.74092,728847
271,1618027,194467.24,425698,16969.27,273534.32,2564.79564,5153456
272,5046911,606730.32,497637,51556.11,812761.76,7328.92252,4763453
273,13149587,1566284.44,420861,132068.87,2114034.92,18437.45484,2957295
274,14369851,1721240.12,430415,144861.51,2308536.16,19920.20332,1581897
275,5497579,657291.48,452419,55468.79,891391.64,8573.80428,1388603
276,4518486,531896.32,441057,46163.86,730191.76,6541.40152,4337370
277,12425941,1481469.92,546995,125112.41,1996015.56,17538.24212,5854617
278,9547075,1136713,515324,95940.75,1533006,13471.139,3358512
279,5880391,705088.92,472794,59527.91,945468.56,9140.11612,4612215
280,5040606,589890.72,510315,51594.06,821848.96,7126.59992,5943388
281,15587781,1870446.72,539518,156977.81,2504170.96,21102.87092,4693958
282,13828999,1649980.88,428585,138671.99,2226317.84,19523.27868,6841285
283,8592880,1020802.6,466957,86649.8,1389936.8,12538.6016,423595
284,1409760,170103.2,532291,14697.6,241150.6,3158.8832,5926223
285,14306529,1712837.48,441911,143594.29,2302679.64,19545.61828,2375553
286,11811859,1409693.08,451095,118537.59,1899020.44,16006.65388,412480
287,4013387,477172.44,400357,41206.87,647986.92,5745.67084,1315019
288,13812316,1657751.92,474061,139072.16,2220783.56,19154.25712,5037381
289,14848326,1774255.12,467243,149638.26,2382420.16,20068.79032,4845875
290,10493457,1251338.84,497736,106091.57,1691561.12,14329.36324,6414319
291,6017771,720116.52,439207,60541.71,968578.36,8731.45772,2846897
292,5352018,635028.16,430793,54714.18,864780.88,7848.66376,1672755
293,12114899,1445166.88,561522,122326.99,1942904.84,17239.66668,4678632
294,4380930,524690.6,433344,44234.3,715222.8,6946.8276,1140944
295,13495281,1616936.72,470924,135928.81,2170796.96,18510.77092,2830424
296,15174357,1813512.84,552094,152815.57,2440573.12,21020.15124,3741074
297,13986666,1666407.92,462553,140810.66,2244845.56,19885.39912,1376690
298,5466006,651758.72,561179,55422.06,889276.96,8697.12792,4923245
299,3889801,465112.12,504590,39457.01,635907.16,6213.53732,3299770
300,11482613,1367914.56,451884,115544.13,1852571.08,15969.04916,1221081
301,3344845,393827.4,505981,34565.45,541574.2,5012.1954,4722183
302,15386362,1846999.44,566889,154406.62,2468785.92,21560.99784,4091045
303,7537910,891883.2,473264,75796.1,1219993.6,11058.0412,670960
304,15637031,1873336.72,483130,157160.31,2514441.96,21232.88092,2691231
305,7535348,904882.76,424233,75907.48,1214078.68,10757.65936,1694624
306,10264400,1216760,409861,103153,1647687,14287.008,3107960
307,3180372,384364.64,517569,32713.72,519279.52,5174.09104,3514550
308,10882386,1292664.32,480567,109802.86,1754572.76,15853.74952,2389913
309,9739653,1155596.36,430842,98116.53,1569806.48,13689.34196,3368905
310,8796919,1052114.28,460128,88456.19,1422159.04,13038.93308,408773
311,14106470,1690362.4,487542,141626.7,2268802.2,19403.5404,3482089
312,6080637,728604.44,446406,61722.37,978547.92,8752.44084,6046148
313,15902247,1900335.64,453939,159444.47,2558797.52,22389.96604,1482477
314,1381604,165688.48,469355,14702.04,234070.64,2791.71728,5984944
315,14413698,1726621.76,413761,145143.98,2320468.68,19499.08136,2611356
316,7687316,916189.92,412239,78035.16,1235522.56,10791.25712,5503633
317,10936366,1298839.92,553964,109685.66,1762113.56,15719.00312,2251683
318,1258157,141541.84,544612,12933.57,206103.12,2499.76724,6379711
319,14731927,1767524.24,448390,148316.27,2363200.32,20266.14364,5963164
320,2325006,273452.72,555050,23817.06,386755.96,4287.00792,5035023
321,12956848,1555698.76,471517,129987.48,2080273.68,17857.03936,5330765
322,11308821,1357123.52,432807,113842.21,1820538.36,16376.64372,3608186
323,15037583,1800356.96,454718,150945.83,2414610.28,20465.60956,5799222
324,4793704,567250.48,465806,48777.04,772727.64,7248.68928,1375472
325,4516615,541194.8,469229,46234.15,734063.4,7054.9318,1223041
326,5995887,720763.44,538626,60265.87,966323.92,8988.57084,6779886
327,3826946,448357.52,477119,38862.46,627814.36,5997.56872,4995617
328,16141914,1935800.68,466452,161961.14,2590567.24,22315.32648,5975764
329,1809567,212669.04,532218,19233.67,302800.72,2930.62844,2689878
330,1370841,166482.92,556985,14571.41,229414.56,2354.51012,1110142
331,4438323,531059.76,528635,45132.23,719350.68,6320.58636,6709734
332,7752820,919937.4,446796,78149.2,1254054.2,10770.7224,2139268
333,7898585,937108.2,522785,79382.85,1274274.6,11606.1322,5878026
334,13974741,1663878.92,553751,140509.41,2242993.56,19023.65812,4043072
335,12954263,1540146.56,437370,130001.63,2087481.08,17667.62716,5905776
336,6441013,759364.56,526846,65526.13,1046521.08,9492.13716,3282910
337,7788088,927786.56,520713,78258.88,1251268.08,11059.27616,6644163
338,1191964,131940.68,519453,13043.64,201137.24,2347.39248,4546759
339,4839774,575297.88,425840,48807.74,785235.84,6863.50168,5122250
340,14802841,1778272.92,408011,148971.41,2374227.56,20708.75012,1919551
341,1823768,207800.16,457354,19065.68,305139.88,3600.37376,6933936
342,10365848,1242591.76,554397,104401.48,1663013.68,14826.91936,4055167
343,8333452,997514.24,414377,84239.52,1344844.32,11977.15664,3249855
344,9578007,1146235.84,560103,96372.07,1544941.12,13807.96924,4039335
345,15576199,1857673.88,552628,156366.99,2503747.84,21565.58268,4653458
346,6483288,765994.56,440068,65435.88,1041440.08,9628.94016,3807612
347,1153163,135833.56,482411,12098.63,189274.08,2452.17516,822751
348,4534980,529776.6,473711,46263.8,735197.8,6576.1736,1646152
349,2042197,233094.64,496547,20922.97,333950.52,3702.70004,1858464
350,15670145,1874782.4,555223,157383.45,2513729.2,21961.5914,2367959
351,14337921,1716709.52,550270,144001.21,2309182.36,19671.05572,3447306
352,2261867,265890.04,540555,23577.67,373113.72,3441.66444,6936818
353,1637174,191880.88,490812,17124.74,268447.84,3065.06968,3977028
354,9474027,1133820.24,430881,95932.27,1530163.32,13751.71564,2274487
355,3008577,360348.24,438001,31283.77,491430.32,4988.32164,680017
356,13458617,1610212.04,558825,135713.17,2164505.72,18461.37444,2999706
357,15956476,1903634.12,524843,160626.76,2568995.16,21993.54832,5112248
358,226009,19061.08,525681,3176.09,42812.44,1475.33188,3366257
359,9155077,1096037.24,488257,92320.77,1476704.32,13507.70164,1484248
360,16455506,1967473.72,422307,165148.06,2637574.96,22136.26792,900354
361,10818728,1288701.36,524756,109368.28,1736234.48,14895.72096,1173249
362,6243877,741665.24,431350,63620.77,1013559.32,8976.91764,986099
363,2140627,248298.24,402862,22283.27,353564.32,4228.62764,1583152
364,15211843,1827038.16,405736,153045.43,2441348.88,21398.63276,4970303
365,12386154,1475512.48,459205,124603.54,1989991.64,17701.72328,1147116
366,1751068,213891.16,474775,18505.68,295562.88,3767.40976,1760637
367,6092241,725047.92,553068,61674.41,987171.56,9156.75812,4116300
368,5225941,615841.92,430550,52739.41,850160.56,7587.24212,6345077
369,2070292,247668.04,434461,21462.92,339158.72,3928.78544,6870350
370,2278391,265391.92,560152,23709.91,374224.56,3695.47612,6921338
371,1042208,119431.96,480412,10722.08,175357.28,2767.71456,5002963
372,2929895,339727.4,456987,29748.95,479425.2,4416.4614,1755668
373,3038447,366911.64,495606,30926.47,495199.52,4459.75004,6120228
374,8538569,1021816.28,516382,86024.69,1378590.04,12259.91108,1419240
375,9378966,1112196.92,511776,94619.66,1513545.56,13160.23512,4835808
376,4806375,570044,405579,48634.75,775052,7411.415,5182223
377,16353331,1960880.72,434079,164491.31,2629479.96,22487.39692,6110739
378,4103100,487121,556036,41671,668749,6574.092,2189667
379,1046534,118490.08,562820,11021.34,172980.44,2878.42488,6567573
380,14841515,1768403.8,558988,149282.15,2388462.4,20086.7998,989111
381,16090578,1924096.36,548207,161955.78,2586613.48,22453.56296,5636606
382,7755754,930342.48,419494,78268.54,1245361.64,11040.59528,1060237
383,3724646,448770.52,547262,37826.46,602193.36,6171.53272,711249
384,4820912,572033.44,529079,48830.12,775904.92,6822.60384,3020465
385,1135319,126740.28,501380,12307.19,192561.04,2366.62108,4416930
386,16001521,1921956.52,421697,160498.21,2570080.36,21815.00772,744295
387,11299363,1348247.56,483524,113739.63,1820347.08,16169.15916,2294642
388,5578161,669081.32,565608,56875.61,902060.76,7974.17252,4627299
389,184895,24361.4,558508,2380.95,38398.2,1378.0614,6336803
390,9512928,1132652.36,556466,95728.28,1528239.48,13523.06496,4979839
391,7605262,901606.44,494824,77233.62,1224022.92,11233.94584,723948
392,9561769,1142760.28,501693,96727.69,1540292.04,13525.53508,6112226
393,10998682,1308198.84,507683,110817.82,1775483.12,15896.26024,3514172
394,3104078,361739.36,481998,31779.78,502942.48,5389.38296,4999980
395,7947847,954540.64,537851,80627.47,1286136.52,11101.15804,2789488
396,3180475,380828,532312,32165.75,515640,5688.227,4682606
397,8213313,973584.56,540266,82802.13,1322545.08,12124.57316,3006153
398,8410642,1011596.04,487047,84496.42,1358565.72,11829.04744,6431989
399,14665230,1760858.6,519974,147192.3,2358385.8,19893.1036,6437922
