Firm_id,Sales,Sales1,Price,Promotion,Distribution,customer_satisfaction,competition,total_employee,age
117,777961.8792,777961.88,392,17,1420,4,9,3393,3
118,-3599192.265,3599192.27,426,19,1933,4,14,4972,19
119,-1478752.094,1478752.09,790,9,1787,3,11,5880,3
120,7105200.121,7105200.12,397,3,683,1,2,6593,20
121,761049.8977,761049.9,439,9,1669,7,16,7565,19
122,-4630359.879,4630359.88,512,3,1996,3,8,4676,6
123,6226511.037,6226511.04,524,15,1008,3,19,7745,17
124,-897077.4308,897077.43,729,3,1690,4,14,5116,4
125,-1895818.412,1895818.41,743,16,1757,6,18,4446,13
126,434477.1013,434477.1,638,20,1545,6,19,4729,17
127,5353027.345,5353027.35,752,7,566,5,12,2674,10
128,4919508.613,4919508.61,621,20,969,6,8,4938,3
129,-592252.564,592252.56,560,4,1602,6,16,4039,9
130,1420278.409,1420278.41,573,6,1601,7,13,7562,7
131,2704495.198,2704495.2,502,8,1236,6,6,4235,12
132,6538880.475,6538880.48,404,16,726,2,7,5769,6
133,4654897.897,4654897.9,620,1,1065,7,18,5664,12
134,6470746.393,6470746.39,432,1,558,4,2,4676,18
135,5941571.778,5941571.78,458,3,806,7,19,5389,19
136,101818.9387,101818.94,499,9,1697,3,11,6965,13
137,-506634.304,506634.3,760,13,1519,2,17,2755,4
138,6347679.84,6347679.84,463,15,808,7,6,6011,11
139,3413469.23,3413469.23,348,20,1211,7,9,5039,14
140,-2475345.075,2475345.08,648,11,1878,7,4,5860,4
141,7889344.478,7889344.48,639,9,617,3,19,7490,5
142,4250844.097,4250844.1,324,7,1025,1,2,4524,6
143,-3977373.451,3977373.45,625,2,1892,3,6,3618,13
144,5193399.462,5193399.46,742,14,857,5,6,4422,8
145,6316099.952,6316099.95,342,18,565,5,15,4274,11
146,6623086.491,6623086.49,482,8,649,1,11,5467,17
147,2939785.676,2939785.68,445,17,1463,2,6,7920,12
148,6525335.111,6525335.11,597,5,801,6,19,6386,9
149,-2249648.12,2249648.12,337,10,1847,3,18,5697,5
150,-746228.7586,746228.76,427,6,1810,3,11,7652,16
151,1982123.677,1982123.68,516,0,1292,1,18,3860,16
152,6690768.505,6690768.51,700,20,812,6,5,6623,7
153,-547625.8223,547625.82,639,5,1724,6,18,6322,8
154,5679315.441,5679315.44,364,16,1012,4,2,6790,11
155,-2199927.927,2199927.93,484,10,1803,5,18,4874,11
156,4016846.027,4016846.03,535,4,1221,7,9,6395,12
157,4914248.932,4914248.93,468,10,667,5,13,2477,20
158,-4264406.599,4264406.6,734,18,1874,6,19,2544,18
159,6084203.169,6084203.17,677,14,783,7,4,5344,15
160,3949913.044,3949913.04,681,2,1310,3,6,7553,16
161,7887999.317,7887999.32,516,16,510,6,8,6775,17
162,4862244.598,4862244.6,543,3,1124,6,17,6707,16
163,-1015286.811,1015286.81,570,1,1845,6,8,7880,19
164,-5193297.67,5193297.67,526,3,1940,1,4,2492,4
165,-5618743.399,5618743.4,734,3,1965,6,12,2206,8
166,-298136.385,298136.39,437,0,1632,6,12,5132,3
167,2761167.322,2761167.32,394,14,1309,1,11,5341,16
168,5167775.131,5167775.13,556,18,885,3,2,4618,7
169,826684.0781,826684.08,743,4,1342,3,10,2451,10
170,6056266.372,6056266.37,572,2,932,7,15,6740,16
171,-4695304.547,4695304.55,654,2,1975,3,14,4115,6
172,2614334.624,2614334.62,481,18,1084,3,19,2153,5
173,2283363.913,2283363.91,602,0,1503,6,16,7507,19
174,5076547.504,5076547.5,610,13,1058,2,3,6275,15
175,3161109.23,3161109.23,570,8,1350,1,4,6696,11
176,6936081.783,6936081.78,558,0,710,7,15,6438,20
177,3274015.361,3274015.36,756,11,1314,6,18,6285,18
178,4455023.525,4455023.53,752,16,956,2,17,4067,16
179,5438020.424,5438020.42,610,7,1010,1,17,6478,6
180,4010281.864,4010281.86,681,0,986,5,11,3705,4
181,4458394.637,4458394.64,494,18,1074,7,7,5255,3
182,4727701.916,4727701.92,645,18,960,5,6,4527,16
183,6474906.013,6474906.01,306,19,628,6,12,4896,20
184,3315423.728,3315423.73,406,19,1064,3,18,3150,18
185,5666987.645,5666987.65,489,17,916,3,14,5807,11
186,8194401.619,8194401.62,477,17,621,5,18,7951,7
187,4629336.22,4629336.22,422,17,782,1,14,2810,15
188,3266121.452,3266121.45,416,20,1111,6,13,3562,6
189,3310467.286,3310467.29,330,18,1323,1,8,6481,9
190,-1350741.064,1350741.06,338,13,1836,7,20,6991,3
191,5687536.696,5687536.7,456,18,1106,6,5,7806,20
192,3845513.456,3845513.46,782,4,1173,7,17,5476,18
193,77983.151,77983.15,660,8,1490,4,2,3326,14
194,-789251.751,789251.75,740,10,1681,3,16,5088,4
195,-2406775.862,2406775.86,669,20,1905,1,14,6541,6
196,2458717.763,2458717.76,443,15,1474,2,6,7262,9
197,5209000.112,5209000.11,309,13,1168,1,3,7824,15
198,4150883.939,4150883.94,414,5,848,5,4,2575,11
199,-4488614.308,4488614.31,487,12,1922,4,20,3241,4
200,4202927.798,4202927.8,384,18,1002,3,11,4055,19
201,3809176.763,3809176.76,791,11,995,4,15,3350,3
202,-4330968.583,4330968.58,461,19,1929,5,3,3579,7
203,-4153948.077,4153948.08,517,0,1994,1,18,5533,14
204,4678326.365,4678326.37,563,6,978,1,7,4798,8
205,-2748634.115,2748634.12,437,13,1904,5,14,5925,6
206,4359770.545,4359770.55,763,13,910,3,17,3464,16
207,5520404.505,5520404.51,541,15,875,1,12,5210,10
208,4310562.119,4310562.12,318,1,790,3,17,2437,16
209,5546379.913,5546379.91,317,14,522,6,3,2692,19
210,-2339174.174,2339174.17,675,12,1670,2,9,2122,9
211,2228188.754,2228188.75,344,14,1151,2,5,2301,13
212,312880.56,312880.56,800,2,1709,4,19,7629,4
213,4529438.812,4529438.81,753,16,791,7,2,2638,3
214,5987404.167,5987404.17,672,6,923,4,16,6536,11
215,-1108918.688,1108918.69,446,6,1829,1,10,7422,5
216,6038317.837,6038317.84,390,0,1003,1,13,7528,17
217,1466532.35,1466532.35,567,1,1363,3,19,3931,5
218,6153832.744,6153832.74,314,1,793,6,8,5692,13
219,3771291.821,3771291.82,438,6,1357,4,20,7868,11
220,6382928.687,6382928.69,746,15,543,6,15,4290,9
221,7469124.151,7469124.15,701,12,544,4,16,6279,10
222,8296101.558,8296101.56,439,20,515,2,12,7554,3
223,2591558.169,2591558.17,392,2,1193,6,18,3539,14
224,1259423.088,1259423.09,365,18,1384,2,9,3710,16
225,6799619.421,6799619.42,301,14,851,3,2,7241,14
226,-1976854.601,1976854.6,740,14,1833,3,9,5851,12
227,-2175037.557,2175037.56,528,8,1769,3,4,4296,8
228,2282817.531,2282817.53,419,8,1420,1,16,6184,16
229,4423554.323,4423554.32,547,16,1028,1,18,4786,4
230,2941731.934,2941731.93,755,7,1354,1,19,6375,19
231,-4646108.09,4646108.09,778,15,1892,2,13,2323,11
232,4729112.063,4729112.06,454,6,1024,5,18,5316,18
233,1656017.998,1656018,606,6,1324,7,9,3584,19
234,5977500.775,5977500.78,689,7,553,5,7,3702,19
235,4747695.678,4747695.68,343,16,925,5,10,4237,17
236,1588917.601,1588917.6,301,9,1323,4,8,3463,17
237,-5764156.443,5764156.44,787,13,1987,3,8,2359,18
238,315767.3991,315767.4,403,19,1423,4,12,2589,18
239,-4053405.784,4053405.78,434,0,1835,7,3,2288,7
240,346750.4601,346750.46,726,5,1568,5,8,5125,3
241,-2301350.854,2301350.85,434,6,1783,2,13,4376,14
242,-1477579.824,1477579.82,434,16,1655,1,19,3352,19
243,-284262.8732,284262.87,768,2,1648,6,11,5414,13
244,3370726.635,3370726.64,648,6,1233,2,17,5456,13
245,4101728.754,4101728.75,355,0,1033,1,13,4422,4
246,3917116.754,3917116.75,725,11,1198,5,14,5885,8
247,5144662.864,5144662.86,607,3,684,5,2,3065,20
248,4617289.486,4617289.49,456,3,997,3,4,4884,13
249,-3044076.363,3044076.36,694,16,1820,7,3,3618,15
250,-574793.9164,574793.92,473,0,1696,4,14,5820,15
251,3894613.616,3894613.62,571,20,1064,3,2,4160,20
252,-4378310.84,4378310.84,641,9,1931,2,7,3664,20
253,7083436.608,7083436.61,480,17,674,7,8,6292,5
254,-3208991.367,3208991.37,621,9,1968,1,17,6558,11
255,-872980.8364,872980.84,736,16,1750,7,3,6105,16
256,632300.7834,632300.78,684,12,1691,3,20,7777,6
257,2924098.468,2924098.47,332,15,1314,3,4,5670,5
258,-167282.9191,167282.92,734,14,1667,2,6,5900,13
259,4046563.144,4046563.14,473,3,1285,6,2,7328,11
260,6054538.331,6054538.33,745,10,559,6,20,3843,9
261,4878390.086,4878390.09,601,11,940,6,7,4648,17
262,1026135.262,1026135.26,583,0,1613,5,15,7152,16
263,-2140535.461,2140535.46,466,5,1910,7,14,7171,18
264,4554972.488,4554972.49,784,3,1258,1,18,7930,20
265,7542359.578,7542359.58,313,19,576,5,6,6505,4
266,3695832.809,3695832.81,499,10,1173,6,14,5163,19
267,4766653.219,4766653.22,307,17,1105,5,19,6191,17
268,3723676.813,3723676.81,539,8,1252,2,12,6308,20
269,-4148695.193,4148695.19,431,17,1964,6,4,4651,14
270,-1635021.972,1635021.97,406,14,1722,2,20,4324,5
271,897776.2728,897776.27,728,10,1645,6,15,7389,5
272,-2404237.741,2404237.74,381,14,1784,5,5,4094,11
273,6250603.313,6250603.31,402,3,652,3,13,4849,16
274,3138294.935,3138294.94,563,8,1123,1,7,3647,17
275,4516284.312,4516284.31,668,13,792,1,11,2733,7
276,6002651.7,6002651.7,367,3,648,1,12,4410,15
277,4507694.468,4507694.47,480,6,702,7,15,2017,11
278,-3166847.97,3166847.97,759,9,1784,7,14,2770,5
279,1607118.767,1607118.77,587,3,1231,1,10,2338,13
280,315842.012,315842.01,320,7,1718,3,17,7753,20
281,-1699927.392,1699927.39,584,1,1682,7,12,3517,10
282,-4413949.653,4413949.65,505,0,1851,4,13,2012,12
283,4134521.944,4134521.94,799,7,1005,6,20,4047,3
284,-2128215.208,2128215.21,753,11,1666,6,7,2381,6
285,6696499.878,6696499.88,439,15,930,5,14,7761,12
286,6006938.589,6006938.59,466,19,664,1,11,4368,16
287,5109818.783,5109818.78,484,8,988,6,11,5580,11
288,1051194.85,1051194.85,800,4,1344,3,13,2884,5
289,3751093.002,3751093,424,19,1205,6,20,5597,4
290,2114951.583,2114951.58,602,6,1248,4,8,3392,16
291,3537793.996,3537794,697,6,1183,5,6,5068,5
292,3219978.782,3219978.78,372,3,974,7,15,2116,13
293,2986964.5,2986964.5,504,2,1087,5,9,2962,17
294,-1192848.608,1192848.61,394,8,1825,6,11,7096,18
295,3077590.283,3077590.28,317,3,1344,5,12,6466,3
296,3578502.989,3578502.99,425,17,1008,3,15,3034,3
297,2165627.424,2165627.42,777,8,1275,1,2,3875,4
298,4962973.683,4962973.68,739,8,1035,6,9,5816,15
299,6753478.95,6753478.95,315,2,889,1,13,7651,14
300,5110711.634,5110711.63,492,5,1002,1,11,5824,12
301,31352.7131,31352.71,706,9,1670,6,5,6300,14
302,533981.2716,533981.27,616,15,1583,3,17,5641,13
303,608059.8287,608059.83,362,7,1663,7,4,7199,18
304,4188114.215,4188114.22,796,11,805,7,2,2192,6
305,5967344.531,5967344.53,693,4,854,5,8,5864,12
306,6948896.992,6948896.99,320,15,578,6,12,5483,12
307,2560753.175,2560753.18,352,0,1414,5,20,6623,3
308,-4615773.157,4615773.16,495,4,1988,1,5,4531,20
309,-1761127.14,1761127.14,537,14,1817,3,17,5922,7
310,2582755.425,2582755.43,333,13,1336,7,15,5338,17
311,2501972.915,2501972.92,722,2,1447,5,9,6999,9
312,905244.6546,905244.65,333,13,1462,1,7,4350,4
313,7631342.404,7631342.4,755,1,528,7,13,6551,8
314,3931366.44,3931366.44,800,18,949,2,6,3054,3
315,6402120.109,6402120.11,644,4,845,3,3,6583,10
316,813121.6951,813121.7,426,1,1334,6,5,2293,17
317,5543670.61,5543670.61,348,16,922,7,17,5609,3
318,5014425.452,5014425.45,583,13,733,4,16,3111,17
319,4133962.976,4133962.98,749,10,1055,6,17,4559,3
320,3812095.637,3812095.64,716,19,1328,5,17,7388,4
321,2011299.282,2011299.28,657,11,1546,3,6,7668,13
322,4516762.166,4516762.17,327,8,1238,6,5,7482,8
323,2516888.388,2516888.39,532,20,1242,5,5,3879,14
324,69308.89675,69308.9,705,4,1675,6,15,6521,3
325,1774054.987,1774054.99,798,20,1426,6,14,5194,12
326,2843730.527,2843730.53,735,8,1260,6,18,4816,3
327,-1386262.243,1386262.24,453,0,1813,4,16,6629,9
328,-1028401.848,1028401.85,657,6,1785,5,16,6637,13
329,-4493486.038,4493486.04,446,5,1912,7,20,3038,18
330,3798818.16,3798818.16,737,12,1092,5,4,4359,20
331,5741726.419,5741726.42,510,4,919,4,16,6085,6
332,-771485.8953,771485.9,722,15,1578,5,11,3205,16
333,7638031.335,7638031.34,533,13,556,5,16,6617,14
334,2347935.654,2347935.65,744,8,1484,6,19,7248,5
335,5948928.444,5948928.44,481,14,570,3,15,3721,3
336,1876080.768,1876080.77,406,16,1354,1,6,4393,16
337,4633706.163,4633706.16,558,0,847,6,11,3458,17
338,482023.7586,482023.76,573,1,1385,2,8,2514,9
339,4064719.116,4064719.12,760,19,1171,2,6,5766,9
340,-1467263.911,1467263.91,351,15,1827,7,8,6566,19
341,2064951.16,2064951.16,633,9,1465,3,11,6457,20
342,4187958.909,4187958.91,466,0,913,4,17,3305,11
343,2699802.727,2699802.73,705,3,1232,4,11,4257,6
344,5912548.162,5912548.16,731,13,619,7,11,3898,3
345,-1855440.67,1855440.67,389,20,1661,7,12,2681,3
346,4285810.963,4285810.96,769,15,846,5,9,2703,11
347,1480248.834,1480248.83,788,1,1617,7,7,7992,11
348,4284463.901,4284463.9,649,16,843,6,18,2650,18
349,6436107.22,6436107.22,496,9,785,6,15,6049,18
350,6474239.996,6474240,308,5,522,4,11,4470,3
351,-5476756.221,5476756.22,551,7,1966,1,19,2507,13
352,5364942.403,5364942.4,747,16,1101,1,10,7268,14
353,4249415.231,4249415.23,556,15,875,4,5,2908,12
354,-3419220.281,3419220.28,570,6,1939,7,18,5516,5
355,3941396.06,3941396.06,663,13,1175,6,17,5604,10
356,1220958.722,1220958.72,361,10,1630,1,4,7751,13
357,4413652.693,4413652.69,695,20,905,7,16,3393,15
358,5365461.941,5365461.94,671,1,1001,1,9,6302,15
359,5141592.92,5141592.92,685,20,1089,7,7,6610,17
360,8053092.819,8053092.82,307,3,583,2,2,7635,15
361,8077903.877,8077903.88,798,10,614,4,7,7768,17
362,4672541.73,4672541.73,800,13,1245,6,6,7800,13
363,-745768.2929,745768.29,483,15,1648,1,9,4535,13
364,3506492.125,3506492.13,489,19,957,2,3,2355,20
365,1596086.293,1596086.29,402,3,1504,7,13,6268,7
366,6242616.643,6242616.64,621,4,825,1,2,6152,12
367,-4711391.885,4711391.89,604,19,1969,7,15,3737,9
368,7365728.579,7365728.58,573,17,695,7,15,6931,18
369,-3523956.616,3523956.62,481,5,1960,1,12,5866,7
370,2528528.266,2528528.27,508,16,1393,6,4,6068,7
371,7678422.453,7678422.45,739,13,738,3,17,7890,20
372,5247265.516,5247265.52,656,3,896,5,4,4981,5
373,1890137.497,1890137.5,568,8,1558,5,19,7660,17
374,-4904535.401,4904535.4,436,19,1941,6,17,2803,14
375,132757.4789,132757.48,414,0,1661,2,7,6460,14
376,-414676.7589,414676.76,323,16,1781,5,14,7559,4
377,-1449507.782,1449507.78,595,11,1682,6,14,3879,9
378,428278.4937,428278.49,662,5,1472,6,5,3667,9
379,-3935491.517,3935491.52,706,19,1847,6,20,2579,5
380,3553451.932,3553451.93,561,2,1220,5,10,5608,10
381,-1224418.436,1224418.44,503,16,1756,7,11,5607,7
382,6848201.317,6848201.32,631,0,901,1,12,7957,6
383,4927631.675,4927631.68,563,3,1013,2,16,5621,16
384,770704.027,770704.03,557,8,1504,5,4,4773,11
385,4049106.101,4049106.1,682,2,1294,4,2,7494,11
386,4488345.597,4488345.6,590,18,993,2,9,4492,4
387,5572463.444,5572463.44,681,5,509,1,16,2843,8
388,-518278.7102,518278.71,685,1,1726,7,17,6435,11
389,-1795803.578,1795803.58,753,8,1610,2,12,2058,5
390,92939.5838,92939.58,788,2,1535,5,7,4145,6
391,7146717.028,7146717.03,743,1,847,3,7,7955,9
392,614394.7197,614394.72,359,19,1689,7,3,7578,9
393,1251052.425,1251052.43,563,15,1458,6,8,4806,15
394,7908104.266,7908104.27,382,11,646,5,11,7656,5
395,-1289648.392,1289648.39,732,3,1704,1,20,4715,12
396,-2146557.971,2146557.97,707,18,1941,1,20,7778,14
397,2974359.666,2974359.67,571,14,1397,7,20,6923,19
398,4472521.096,4472521.1,771,7,941,1,12,4044,19
399,2114229.409,2114229.41,403,12,1556,6,17,7980,6
400,106166.126,106166.13,560,3,1736,2,16,7775,17
401,6524076.711,6524076.71,638,5,534,4,14,4618,7
402,5460519.492,5460519.49,405,0,525,7,11,2692,6
403,7197770.612,7197770.61,531,9,717,4,4,6913,4
404,3456966.296,3456966.3,593,3,1142,4,15,4454,17
405,1957451.479,1957451.48,762,11,1467,4,20,6275,13
406,8028636.291,8028636.29,608,5,619,3,11,7780,11
407,5950695.579,5950695.58,740,10,644,6,5,4161,5
408,4743129.262,4743129.26,635,20,1074,3,16,5796,8
409,3314175.49,3314175.49,622,1,940,3,18,2023,6
410,5283534.05,5283534.05,652,2,1066,2,4,6848,5
411,5421417.002,5421417,320,1,897,3,10,5337,20
412,5457184.561,5457184.56,449,9,1027,3,6,6639,11
413,-3677258.158,3677258.16,753,9,1942,7,5,5076,18
414,753797.1924,753797.19,624,18,1673,5,2,7572,4
415,3889796.393,3889796.39,684,10,1108,5,12,4744,3
416,-3010188.13,3010188.13,622,0,1901,6,13,5511,6
417,476571.3208,476571.32,545,2,1476,4,8,3877,6
418,5880232.997,5880233,379,17,511,1,20,3277,19
419,-169965.2478,169965.25,372,7,1734,5,16,7176,6
420,2175119.381,2175119.38,564,8,1501,2,10,7265,6
421,-993361.419,993361.42,660,5,1750,2,20,6074,14
422,5874394.846,5874394.85,582,0,916,4,3,6319,14
423,3514408.098,3514408.1,543,5,1143,7,11,4511,11
424,5604094.454,5604094.45,399,18,859,3,14,5162,8
425,-4829464.945,4829464.95,352,14,1918,1,10,2569,3
426,5331432.861,5331432.86,671,5,690,4,12,3448,6
427,4897193.743,4897193.74,328,11,607,3,8,2080,20
428,-46408.7747,46408.77,478,16,1511,7,9,3329,19
429,-3751303.519,3751303.52,660,16,1882,6,2,3629,20
430,5018740.528,5018740.53,784,16,871,2,13,4263,7
431,-2461899.809,2461899.81,545,0,1930,7,5,7073,11
432,156500.2913,156500.29,775,6,1512,6,6,3817,15
433,6924691.584,6924691.58,399,8,718,6,11,6419,7
434,548110.4495,548110.45,307,18,1490,4,9,4076,5
435,4210389.848,4210389.85,395,10,1300,1,12,7834,7
436,4130851.82,4130851.82,433,17,1248,2,11,6891,20
437,6202454.638,6202454.64,354,1,666,4,5,4862,12
438,4986629.62,4986629.62,496,5,905,4,20,4595,16
439,4894099.911,4894099.91,419,10,1053,6,3,5879,4
440,5736359.796,5736359.8,560,18,852,5,15,5301,17
441,4719214.086,4719214.09,475,0,746,1,13,2850,18
442,-3048072.748,3048072.75,720,14,1807,5,20,3409,12
443,5149505.384,5149505.38,744,1,630,4,15,2766,9
444,1400818.832,1400818.83,520,6,1581,6,6,7194,4
445,1917601.542,1917601.54,331,10,1364,3,4,4640,19
446,-1384474.878,1384474.88,309,11,1639,5,9,3224,13
447,6962272.177,6962272.18,546,0,718,6,14,6566,7
448,6204647.548,6204647.55,532,0,843,3,20,6265,7
449,-978682.7924,978682.79,776,19,1628,2,7,3707,20
450,6078118.728,6078118.73,606,6,664,2,17,4607,17
451,-4294874.003,4294874,620,4,1973,1,11,4777,20
452,222136.5575,222136.56,587,2,1625,6,19,5902,19
453,3436001.288,3436001.29,321,2,1014,1,11,3014,4
454,-2150162.105,2150162.11,333,1,1897,4,6,6957,20
455,3353431.03,3353431.03,726,0,1405,6,16,7870,13
456,-1581182.982,1581182.98,743,1,1691,2,12,3960,11
457,5921289.484,5921289.48,344,3,572,6,14,3744,9
458,-1772435.847,1772435.85,421,4,1775,1,20,5195,15
459,7943278.995,7943279,667,10,631,7,8,7600,10
460,4055858.057,4055858.06,757,8,854,7,8,2404,12
461,-1786153.362,1786153.36,480,17,1699,6,13,3535,12
462,-4426728.41,4426728.41,641,20,1997,2,17,4907,15
463,4346902.198,4346902.2,384,6,1067,1,15,5173,8
464,3558133.235,3558133.24,648,7,1042,3,20,3461,6
465,5287408.879,5287408.88,655,17,1132,7,19,7412,14
466,2590933.167,2590933.17,609,11,1501,5,4,7923,16
467,5424067.026,5424067.03,582,5,769,2,18,4227,8
468,7157506.749,7157506.75,677,8,773,7,12,7228,19
