id,default,d_dummy,student,student_dummy,balance,income,gender,edu,avg_late_payment
119,No,0,No,0,867.0308281,33540.97998,0,0,22
120,No,0,Yes,1,1176.789402,17632.7121,0,0,49
121,No,0,No,0,610.2278187,42465.36296,1,0,63
122,No,0,No,0,272.6156617,55449.33864,1,0,56
123,No,0,No,0,449.7350858,49643.42644,1,0,40
124,No,0,Yes,1,827.7672094,10673.52623,0,1,20
125,No,0,No,0,430.0000994,33925.2196,0,0,20
126,No,0,No,0,0,31825.76497,0,1,7
127,No,0,Yes,1,1557.344637,18404.59419,1,0,71
128,No,0,No,0,928.2369663,33722.15894,1,0,2
129,No,0,No,0,1373.450163,49101.79821,1,0,7
130,No,0,Yes,1,951.0729075,18601.53324,0,0,15
131,No,0,Yes,1,1292.210869,23065.85098,0,0,74
132,No,0,No,0,582.1887007,24760.79573,0,0,11
133,No,0,Yes,1,339.4246383,19307.98029,1,1,89
134,No,0,No,0,409.9823246,44641.09012,1,0,71
135,No,0,No,0,1216.45151,53639.84683,1,1,48
136,No,0,No,0,598.4613921,44124.26811,1,0,84
137,Yes,1,Yes,1,1486.998122,17854.39703,1,0,12
138,No,0,No,0,943.7963387,59976.83987,0,1,88
139,No,0,No,0,0,49525.74502,0,0,12
140,No,0,Yes,1,996.2760868,20883.24077,1,0,87
141,No,0,Yes,1,748.3013404,11248.67075,0,0,23
142,No,0,No,0,324.7379218,15411.51857,0,0,46
143,No,0,Yes,1,575.3821585,16005.68132,0,0,21
144,No,0,No,0,441.7382849,36012.2359,0,0,87
145,No,0,No,0,1188.64218,39526.56127,1,1,14
146,No,0,No,0,95.14768019,51371.19991,0,0,20
147,No,0,No,0,1015.614837,43218.79438,1,0,36
148,No,0,No,0,1258.567393,44931.67492,0,0,75
149,No,0,Yes,1,1178.244414,7750.289221,0,0,85
150,No,0,No,0,731.5326563,43956.06008,1,1,7
151,No,0,No,0,350.0887921,44455.19952,0,0,4
152,No,0,No,0,418.8483454,36901.78333,0,0,12
153,No,0,No,0,533.2294652,39393.54248,0,0,51
154,No,0,No,0,95.29697413,32359.38903,1,0,9
155,No,0,Yes,1,1453.005932,15933.00211,1,1,87
156,No,0,No,0,352.644414,39404.74437,0,0,61
157,No,0,Yes,1,736.2389355,14107.99397,0,1,60
158,No,0,No,0,1306.484572,41224.62502,0,0,46
159,No,0,No,0,1149.145627,45194.79466,1,0,86
160,No,0,No,0,703.2268907,57679.27914,1,1,54
161,No,0,Yes,1,1360.800435,18864.30849,0,0,43
162,No,0,No,0,31.44508054,53287.3503,0,1,69
163,No,0,No,0,988.2144581,48570.36346,0,1,4
164,No,0,No,0,360.0190736,23927.54661,1,0,87
165,No,0,No,0,647.4835286,33226.27754,1,0,71
166,No,0,Yes,1,0,9816.789438,1,0,84
167,No,0,No,0,445.2418192,31974.62451,1,0,71
168,No,0,Yes,1,878.5420645,17496.74148,1,0,72
169,No,0,Yes,1,335.8341186,21759.87027,0,0,75
170,No,0,No,0,666.6088814,30438.46883,1,0,42
171,No,0,No,0,813.876647,40737.45978,0,0,37
172,No,0,No,0,836.3000716,54607.17874,0,1,45
173,No,0,No,0,967.4826837,33055.11027,0,1,66
174,Yes,1,Yes,1,2205.799521,14271.49225,0,1,12
175,No,0,Yes,1,1258.185219,11672.222,0,0,31
176,No,0,No,0,1239.801699,40107.17221,0,0,74
177,No,0,Yes,1,0,13760.29846,1,1,40
178,No,0,Yes,1,927.8877323,22473.37961,0,1,59
179,No,0,Yes,1,1390.030783,21299.09923,0,0,11
180,No,0,No,0,410.4977048,53471.21363,0,1,3
181,No,0,No,0,73.07654218,30681.73754,0,1,25
182,No,0,No,0,790.5977592,45303.10331,1,1,65
183,No,0,No,0,789.495097,32579.90021,1,0,5
184,No,0,No,0,791.3604221,46319.23612,1,1,58
185,No,0,No,0,479.042379,37255.88033,0,0,31
186,No,0,No,0,888.6132726,28899.79175,0,1,15
187,No,0,No,0,1284.386361,42831.95462,1,0,11
188,No,0,Yes,1,712.2763513,23341.95023,1,0,19
189,No,0,Yes,1,1290.620169,18408.04908,1,0,55
190,No,0,No,0,126.3626854,44280.92979,0,0,81
191,No,0,No,0,779.3762577,61158.88511,0,1,1
192,No,0,No,0,697.4909575,49476.7596,0,1,75
193,No,0,No,0,606.9746135,43610.03302,1,0,80
194,No,0,Yes,1,1802.903334,21411.42395,0,0,0
195,No,0,No,0,900.0853326,41276.56319,0,0,33
196,No,0,No,0,966.280288,33440.9793,0,0,80
197,No,0,No,0,671.0613596,35689.11187,0,0,16
198,No,0,No,0,171.559116,23505.99277,1,0,44
199,No,0,No,0,1482.4803,45260.6116,1,1,12
200,No,0,No,0,640.6627517,46464.56593,1,0,84
201,No,0,Yes,1,706.1610275,18078.35179,0,0,10
202,Yes,1,Yes,1,1774.694223,20359.50609,0,1,2
203,No,0,No,0,916.4993169,25768.40745,0,1,32
204,No,0,No,0,1271.270812,36053.50295,0,1,41
205,No,0,No,0,110.5729098,47339.10875,0,0,10
206,No,0,No,0,1747.258882,37819.28909,1,0,60
207,Yes,1,No,0,1889.59919,48956.17159,1,0,25
208,No,0,No,0,27.20139465,21051.84013,1,0,49
209,No,0,No,0,746.2297751,35159.85023,0,0,73
210,Yes,1,Yes,1,1899.390626,20655.2,1,1,52
211,No,0,Yes,1,813.9945655,20391.52895,1,0,50
212,No,0,No,0,499.4578151,38899.16046,0,0,68
213,No,0,No,0,853.1613317,36272.45178,0,0,48
214,No,0,No,0,474.7273191,32064.33511,1,0,71
215,No,0,No,0,1235.876113,35838.77702,0,0,18
216,No,0,No,0,620.6751526,44213.7701,1,1,76
217,No,0,No,0,220.0285698,37880.02965,0,0,17
218,No,0,Yes,1,1304.914299,18074.07542,0,1,4
219,No,0,Yes,1,1608.15256,22358.0467,0,1,67
220,No,0,No,0,256.4712276,37657.05592,1,0,34
221,No,0,Yes,1,1153.604998,19224.97523,0,0,50
222,No,0,No,0,771.8958745,31170.08528,1,0,50
223,No,0,Yes,1,1099.630422,17064.04283,1,1,13
224,No,0,No,0,782.8830297,40357.13343,0,0,1
225,No,0,No,0,444.2649062,35924.33879,0,0,89
226,No,0,No,0,504.0283787,24780.96124,0,0,12
227,No,0,No,0,1762.503402,42124.66007,1,1,43
228,No,0,Yes,1,850.0961166,18618.98791,1,0,54
229,No,0,No,0,1412.238721,40785.05977,0,0,88
230,No,0,No,0,715.4968296,47482.56538,0,0,38
231,No,0,No,0,1363.528599,55713.04161,1,0,31
232,No,0,No,0,493.2418898,42495.20308,1,0,74
233,No,0,No,0,1354.752537,33375.13169,0,0,90
234,No,0,Yes,1,571.293911,15416.26935,0,0,86
235,No,0,No,0,956.1513522,44086.70773,1,0,63
236,No,0,No,0,964.820253,34390.74604,1,0,80
237,No,0,No,0,552.634366,50513.16424,1,1,88
238,No,0,No,0,338.2662016,37767.23986,0,1,0
239,No,0,No,0,709.1233514,44041.63009,0,1,72
240,No,0,No,0,978.9782004,57839.05373,0,0,65
241,No,0,No,0,371.0101278,15702.70708,0,1,37
242,Yes,1,Yes,1,1572.856481,14930.17833,1,0,17
243,No,0,No,0,0,40150.21798,0,0,1
244,Yes,1,No,0,1964.476872,39054.58914,1,0,68
245,No,0,No,0,548.0377834,33605.64947,1,0,53
246,No,0,No,0,1257.055222,34045.00882,0,0,8
247,No,0,No,0,1189.918057,38016.8939,0,1,19
248,No,0,No,0,687.683759,39373.57975,1,0,79
249,No,0,No,0,845.6989658,39899.51268,1,0,21
250,No,0,Yes,1,957.6848338,19676.34565,1,1,59
251,No,0,No,0,233.5168463,43326.10538,0,0,66
252,No,0,Yes,1,1126.948744,14298.26457,0,1,87
253,No,0,Yes,1,488.8551765,15159.49485,0,0,43
254,No,0,No,0,767.9035598,44323.57966,0,0,33
255,No,0,No,0,561.9257991,31388.50565,1,0,19
256,No,0,Yes,1,1092.270013,17454.60184,0,0,72
257,No,0,No,0,71.788683,31965.74471,1,0,35
258,No,0,Yes,1,1839.143682,13625.39793,1,1,7
259,No,0,Yes,1,876.0007779,22474.57409,1,0,82
260,No,0,No,0,554.1078115,30357.02598,0,0,3
261,No,0,No,0,891.3178981,43945.04165,1,1,31
262,No,0,No,0,464.8363331,27324.89969,1,0,70
263,No,0,Yes,1,563.5426611,24082.03934,1,0,6
264,Yes,1,No,0,1530.353157,30003.81715,0,1,64
265,No,0,No,0,990.5670262,41690.25262,1,1,15
266,No,0,No,0,590.3997865,42769.20388,1,0,31
267,No,0,Yes,1,715.1641096,21153.51101,0,0,61
268,No,0,No,0,1540.377727,41852.07844,0,0,30
269,No,0,No,0,1243.326518,41639.68038,0,0,23
270,No,0,Yes,1,235.3284999,20909.70475,1,0,12
271,No,0,No,0,528.2543232,49394.34077,1,0,15
272,No,0,No,0,592.2538956,30731.2016,0,0,14
273,No,0,No,0,705.204972,42683.18724,0,0,85
274,No,0,No,0,456.515644,48195.77584,0,0,26
275,No,0,Yes,1,470.7175747,18052.105,0,1,80
276,No,0,Yes,1,1503.07513,10600.41354,0,0,57
277,No,0,No,0,1362.965595,44217.91604,0,0,2
278,No,0,No,0,908.7715737,45032.84599,0,1,18
279,No,0,Yes,1,1096.820272,16148.06001,0,0,38
280,No,0,No,0,369.2219425,47835.09105,1,1,38
281,No,0,No,0,673.399899,50256.29021,0,1,11
282,No,0,No,0,1038.500008,51173.14138,0,1,46
283,No,0,No,0,0,28762.92378,1,1,20
284,No,0,No,0,527.1940866,32431.11826,0,1,81
285,No,0,No,0,817.4693368,32974.42735,0,1,12
286,No,0,Yes,1,1549.042755,19702.29321,1,0,29
287,No,0,Yes,1,566.7137894,11853.95317,1,1,81
288,No,0,No,0,1496.056465,24935.91874,1,0,11
289,No,0,No,0,862.6566564,42844.834,1,0,50
290,No,0,No,0,1259.149418,31263.64108,0,1,11
291,No,0,No,0,1025.038833,43510.04964,1,0,48
292,No,0,Yes,1,703.2777871,14793.74268,0,0,42
293,No,0,Yes,1,1082.391497,15175.36121,1,0,2
294,No,0,No,0,910.4490235,44054.91642,1,0,76
295,No,0,Yes,1,996.5438622,16995.6604,1,1,72
296,No,0,No,0,353.778226,58514.31808,1,0,65
297,No,0,Yes,1,782.7108275,13300.29747,0,0,0
298,No,0,No,0,1716.595418,51056.86829,0,0,56
299,No,0,Yes,1,502.8986384,15153.96576,1,0,27
300,No,0,No,0,1033.468469,59203.96766,0,0,90
301,No,0,No,0,0,34925.36541,1,1,32
302,No,0,Yes,1,1087.083499,19263.76958,0,0,47
303,No,0,No,0,1047.244249,43899.75925,1,0,22
304,No,0,No,0,1056.927353,38367.86795,1,0,44
305,No,0,Yes,1,979.2244246,26010.8878,1,0,44
306,No,0,Yes,1,847.8187063,15978.63363,0,1,79
307,No,0,No,0,781.7712848,50958.79051,0,0,69
308,No,0,Yes,1,402.4888868,15904.05592,0,0,77
309,No,0,No,0,204.7401817,17534.29054,0,0,53
310,No,0,Yes,1,2022.674643,18336.74317,1,0,47
311,No,0,No,0,748.9370638,44186.61776,1,1,76
312,No,0,No,0,838.2756878,35917.49061,0,1,65
313,No,0,No,0,386.0160493,44694.03096,0,0,75
314,No,0,No,0,812.3992965,49623.10098,1,0,7
315,No,0,Yes,1,1809.926564,6985.135945,0,0,62
316,No,0,No,0,0,30360.54894,0,0,0
317,No,0,Yes,1,1328.183804,24688.47372,0,0,7
318,No,0,Yes,1,1464.936049,26716.68637,1,0,13
319,No,0,No,0,1200.565138,39718.69266,0,0,37
320,No,0,No,0,989.68642,27856.57706,1,0,9
321,No,0,No,0,870.7345799,35539.27022,0,1,78
322,No,0,Yes,1,1200.84739,19849.83141,1,0,51
323,No,0,Yes,1,1428.832047,23204.68146,0,0,68
324,No,0,No,0,0,33951.28873,0,0,1
325,No,0,Yes,1,359.4588665,21783.26949,1,1,76
326,No,0,No,0,265.6839498,40862.75401,1,1,1
327,No,0,No,0,1027.770532,44406.83691,1,0,88
328,No,0,No,0,729.0474335,35042.133,1,1,62
329,No,0,No,0,1042.80492,25867.14772,0,0,16
330,No,0,No,0,230.2305879,37875.61482,0,0,80
331,No,0,No,0,367.4660122,30611.27227,1,0,16
332,No,0,Yes,1,737.7053539,20863.79967,0,0,34
333,No,0,No,0,18.26128536,30349.46042,0,0,33
334,No,0,No,0,1257.760209,30834.77137,0,1,86
335,No,0,No,0,455.5215132,40907.39835,1,0,56
336,No,0,No,0,56.96756035,35458.48156,1,0,41
337,No,0,Yes,1,723.9319853,12213.03714,0,0,35
338,No,0,No,0,612.3831577,41379.76781,1,0,45
339,No,0,Yes,1,1220.177606,15308.12707,0,0,89
340,No,0,No,0,1222.347692,32363.37105,0,0,38
341,No,0,No,0,1165.491138,47684.21945,1,0,9
342,Yes,1,No,0,1642.819997,46856.94704,0,0,58
343,No,0,No,0,944.17356,56088.6838,1,0,88
344,No,0,No,0,749.6080039,41423.94117,0,0,33
345,No,0,No,0,370.3751868,31231.00784,0,1,43
346,Yes,1,No,0,1991.64912,42133.37318,1,0,90
347,No,0,No,0,773.9152266,44562.33812,0,0,29
348,No,0,Yes,1,817.2498113,20480.88706,1,1,78
349,No,0,No,0,1060.71622,50260.46437,1,1,52
350,Yes,1,No,0,1550.449264,56273.51361,0,0,83
351,No,0,Yes,1,454.4669622,15092.43931,1,0,74
352,No,0,Yes,1,1256.239325,17784.55894,0,0,69
353,No,0,No,0,1484.395393,36731.30869,0,0,7
354,No,0,Yes,1,1050.477328,12661.61163,1,0,3
355,No,0,No,0,986.4006189,45430.47221,0,1,23
356,No,0,No,0,717.341927,44266.37654,1,1,37
357,No,0,No,0,692.1432227,47038.09032,1,0,77
358,Yes,1,No,0,1328.892725,34710.06237,0,0,46
359,No,0,No,0,673.4681911,32930.06936,1,0,14
360,No,0,No,0,218.639297,48991.39538,1,0,88
361,No,0,No,0,1218.166966,43954.27749,0,0,12
362,No,0,Yes,1,13.51680255,19322.54503,0,0,76
363,No,0,Yes,1,531.4786999,21726.55897,1,0,49
364,No,0,No,0,165.5381517,33436.45574,0,1,11
365,No,0,Yes,1,1351.849722,25890.50399,0,1,58
366,No,0,No,0,107.282083,54143.96275,1,0,81
367,No,0,No,0,947.1935714,35604.11719,0,1,85
368,No,0,Yes,1,434.5602592,14812.64524,1,0,63
369,No,0,No,0,1020.06724,37458.87925,0,0,40
370,No,0,No,0,662.305318,31597.89762,1,0,2
371,No,0,Yes,1,754.4206129,20767.68302,1,0,46
372,No,0,No,0,289.4895757,44412.8951,0,0,72
373,No,0,No,0,198.0384092,36270.93812,0,0,72
374,No,0,Yes,1,516.0604917,16615.02196,0,1,41
375,No,0,No,0,697.563809,41755.39815,0,0,5
376,No,0,Yes,1,502.3247835,16947.42293,1,0,64
377,No,0,Yes,1,1459.687083,15575.41923,1,0,49
378,No,0,No,0,716.9987227,34418.26022,1,0,51
379,No,0,Yes,1,1037.972705,18324.03006,1,1,31
380,No,0,No,0,673.0161172,29735.9616,1,0,41
381,No,0,No,0,371.9217847,41099.77244,1,0,48
382,No,0,No,0,89.13495796,55604.60753,1,1,65
383,No,0,No,0,1273.280181,40895.28277,1,1,2
384,No,0,No,0,600.723303,18680.51677,1,0,28
385,No,0,No,0,905.0381646,40711.7989,0,0,67
386,No,0,No,0,1061.441562,54437.01032,1,1,90
387,No,0,No,0,1672.639248,46334.78776,0,1,72
388,No,0,Yes,1,883.7026456,19750.094,1,0,11
389,No,0,No,0,373.78033,53936.24178,1,1,28
390,No,0,No,0,1287.795187,52382.6647,0,1,38
391,No,0,No,0,1229.742571,48739.92739,0,0,36
392,No,0,Yes,1,510.613847,22457.05175,0,0,27
393,No,0,No,0,775.6301687,27205.85739,1,1,41
394,No,0,No,0,1152.982887,50206.57693,1,0,86
395,No,0,Yes,1,1303.66259,7986.000336,0,0,63
396,No,0,No,0,1675.278852,28244.50348,1,0,26
397,No,0,No,0,398.277733,30001.79506,0,1,22
398,No,0,Yes,1,739.9017594,25023.87386,1,0,22
399,No,0,No,0,226.4176965,32018.71363,0,1,83
400,No,0,No,0,1217.321712,25173.61961,0,0,71
401,No,0,No,0,639.8205582,29902.00199,0,0,52
402,No,0,Yes,1,883.1669769,12717.49223,0,0,13
403,No,0,No,0,2.287610953,38186.52427,0,0,37
404,No,0,No,0,419.6373477,55967.99317,1,1,55
405,No,0,Yes,1,1544.14025,11102.53474,0,0,1
406,No,0,No,0,1101.015018,32153.01359,1,0,24
407,Yes,1,No,0,1700.599913,30488.98341,0,0,55
408,No,0,No,0,311.8245869,48301.05966,0,0,60
409,No,0,No,0,442.8302223,55074.13083,0,1,82
410,No,0,No,0,728.8149601,17909.58107,1,1,29
411,No,0,No,0,278.8779025,37188.66837,0,0,53
412,No,0,No,0,758.7023275,36625.98955,0,0,88
413,No,0,No,0,620.3396794,22803.74103,1,0,20
414,No,0,Yes,1,1890.167411,18402.46488,1,0,38
415,No,0,No,0,0,28951.4519,0,0,51
416,No,0,Yes,1,1329.198842,23184.01555,0,1,27
417,No,0,No,0,1075.863772,44128.62826,1,1,62
418,No,0,No,0,618.5275092,54956.99054,1,0,49
419,No,0,No,0,1111.086576,27466.89368,1,1,1
420,No,0,No,0,864.0397435,45881.93021,0,0,85
421,No,0,No,0,895.2298096,48512.45564,1,0,59
422,No,0,Yes,1,954.0304337,21908.52716,0,0,19
423,No,0,No,0,947.6349327,46813.51631,1,0,5
424,No,0,No,0,267.3037277,23117.92867,0,0,59
425,No,0,Yes,1,1366.805783,23913.2088,1,1,24
426,No,0,No,0,624.7318835,38325.17376,0,0,11
427,No,0,No,0,13.67938267,25221.63767,1,1,83
428,No,0,No,0,785.8664857,44778.01578,0,1,70
429,No,0,Yes,1,1353.093846,18933.49619,1,0,76
430,No,0,No,0,480.3212639,25553.26285,1,0,15
431,No,0,No,0,0,29507.31325,1,0,24
432,No,0,Yes,1,1221.971243,17916.85609,1,1,90
433,No,0,Yes,1,1184.936523,25108.75671,1,0,73
434,No,0,Yes,1,478.5720556,27512.3449,1,0,46
435,No,0,No,0,221.6904619,34786.10135,1,0,73
436,No,0,No,0,578.3876217,41054.13866,1,0,29
437,No,0,Yes,1,1361.458432,19576.95713,1,0,3
438,No,0,Yes,1,977.8480956,19731.96099,0,1,62
439,No,0,No,0,1184.425245,36887.43997,1,0,76
440,Yes,1,Yes,1,1118.701039,21848.4429,1,0,77
441,Yes,1,No,0,1119.097245,37224.56781,0,1,38
442,No,0,No,0,776.3499793,31329.48485,0,0,31
443,No,0,No,0,1322.297091,51792.40237,0,0,54
444,No,0,No,0,878.0264576,27438.58512,1,0,86
445,No,0,No,0,1268.379515,16921.18088,1,1,16
446,No,0,No,0,0,32611.37307,1,0,37
447,No,0,No,0,0,37262.57409,0,0,23
448,No,0,Yes,1,366.7869573,25833.0631,0,1,26
449,No,0,No,0,747.5610364,39898.76909,0,1,50
450,No,0,No,0,1787.285144,37499.09355,1,0,6
451,No,0,Yes,1,1929.44698,14995.49217,0,0,83
452,No,0,No,0,987.142891,27961.31961,0,0,45
453,No,0,Yes,1,856.3573684,20758.21469,1,0,82
454,No,0,No,0,1101.149707,18153.84432,1,1,69
455,No,0,No,0,704.18452,31515.98168,1,1,7
456,No,0,No,0,555.6234367,40837.73164,0,1,37
457,No,0,No,0,1073.498261,44764.11055,0,0,66
458,No,0,No,0,1126.223023,32842.65237,0,0,75
459,No,0,Yes,1,649.7733186,15708.29638,0,1,57
460,No,0,No,0,977.657621,43743.49673,0,0,56
461,No,0,No,0,1049.889964,42637.51106,0,0,4
462,No,0,Yes,1,1383.566333,15764.34588,1,0,31
463,No,0,Yes,1,1095.46574,14065.16757,0,1,10
464,No,0,No,0,1089.371791,30224.59613,0,0,81
465,No,0,No,0,605.2209683,21792.32152,0,1,70
466,No,0,No,0,1033.885399,49262.04533,1,0,43
467,No,0,No,0,1604.720554,38186.98507,1,0,73
468,No,0,No,0,826.3270259,24679.71504,1,0,26
469,No,0,Yes,1,1176.146823,16670.68079,1,0,10
470,No,0,Yes,1,1275.023199,19937.09803,1,0,88
471,No,0,Yes,1,1290.28314,23538.94414,0,1,59
472,No,0,No,0,1133.474199,51414.49596,1,1,45
473,No,0,No,0,837.4125669,37400.49288,0,0,25
474,No,0,Yes,1,379.0821667,18280.36703,1,0,74
475,No,0,Yes,1,1134.166278,12453.36359,1,0,81
476,No,0,No,0,0,39120.08479,0,0,76
477,No,0,No,0,1491.174803,59394.38308,0,0,47
478,No,0,Yes,1,1695.359586,9582.941897,0,0,29
479,No,0,No,0,705.5733276,54589.23987,1,0,17
480,No,0,No,0,239.1933663,33743.22655,1,0,33
481,No,0,Yes,1,1183.710641,12428.61451,0,0,22
482,No,0,No,0,898.7618389,38267.08158,1,0,46
483,No,0,Yes,1,1524.2904,11719.59348,0,0,40
484,No,0,No,0,777.0237374,35115.01855,0,0,78
485,No,0,No,0,1394.795819,26074.93436,1,0,85
486,No,0,Yes,1,0,20476.15572,1,0,19
487,No,0,No,0,62.57157516,47946.76709,0,0,75
488,Yes,1,No,0,1981.451815,28127.89547,1,1,1
489,No,0,No,0,514.0540348,50053.26193,0,0,32
490,No,0,No,0,722.788039,53714.18607,0,0,2
